"","ll_id","OCEAN","REGION","REGION_SUB","SI_LATI.x","SI_LONG.x","YEAR","DATE","SI_LONG_360","REGION_NEW","SI_LATI.y","SI_LONG.y","z","dist_km"
"67",67,"CARIB","PRICO","PRICO",18.1012579,-67.421308,2014,"6/16/2014",292.578692,"PRICO",18.0999755859375,-67.4297103881836,1.12,0.900448040059535
"68",68,"CARIB","PRICO","PRICO",17.9613291,-66.809629,2014,"5/19/2014",293.190371,"PRICO",17.9333457946777,-66.8047866821289,1.15,3.15701562004115
"69",69,"CARIB","PRICO","PRICO",17.9650178,-66.776548,2014,"5/20/2014",293.223452,"PRICO",17.975004196167,-66.7631225585938,1.15,1.80466155322165
"70",70,"CARIB","PRICO","PRICO",17.9681302,-66.772262,2014,"5/20/2014",293.227738,"PRICO",17.975004196167,-66.7631225585938,1.15,1.23373545613631
"71",71,"CARIB","PRICO","PRICO",18.0848295,-67.417937,2014,"6/16/2014",292.582063,"PRICO",18.0999755859375,-67.4297103881836,1.12,2.09638148901343
"72",72,"CARIB","PRICO","PRICO",17.9868477,-67.331408,2014,"6/20/2014",292.668592,"PRICO",17.975004196167,-67.3463897705078,1.13,2.06266495391777
"73",73,"CARIB","PRICO","PRICO",17.9936654,-67.234087,2014,"6/20/2014",292.765913,"PRICO",17.975004196167,-67.2214050292969,1.16,2.47354969285303
"74",74,"CARIB","PRICO","PRICO",18.0396005,-67.268102,2014,"6/18/2014",292.731898,"PRICO",18.0583171844482,-67.2630615234375,1.2,2.15074847801993
"75",75,"CARIB","PRICO","PRICO",18.0539165,-67.203261,2014,"6/18/2014",292.796739,"PRICO",18.0583171844482,-67.2214050292969,1.18,1.98181739519754
"76",76,"CARIB","PRICO","PRICO",18.0703261,-67.268746,2014,"6/16/2014",292.731254,"PRICO",18.0583171844482,-67.2630615234375,1.2,1.46595693657388
"77",77,"CARIB","PRICO","PRICO",18.0839128,-67.222794,2014,"6/18/2014",292.777206,"PRICO",18.0999755859375,-67.2214050292969,1.2,1.79413137384951
"78",78,"CARIB","PRICO","PRICO",18.1172965,-67.26734,2014,"6/18/2014",292.73266,"PRICO",18.0999755859375,-67.2630615234375,1.2,1.98058293117527
"79",79,"CARIB","PRICO","PRICO",18.1190266,-67.258819,2014,"6/16/2014",292.741181,"PRICO",18.0999755859375,-67.2630615234375,1.2,2.1677341292399
"80",80,"CARIB","PRICO","PRICO",18.1323344,-67.281839,2014,"6/17/2014",292.718161,"PRICO",18.1416320800781,-67.2630615234375,1.19,2.23991209150978
"81",81,"CARIB","PRICO","PRICO",18.1358594,-67.271882,2014,"6/17/2014",292.728118,"PRICO",18.1416320800781,-67.2630615234375,1.19,1.13296895082241
"82",82,"CARIB","PRICO","PRICO",18.1493044,-67.259936,2014,"6/17/2014",292.740064,"PRICO",18.1416320800781,-67.2630615234375,1.19,0.915841585067323
"83",83,"CARIB","PRICO","PRICO",18.1625913,-67.280598,2014,"6/18/2014",292.719402,"PRICO",18.1832885742188,-67.2630615234375,1.16,2.95781352161482
"84",84,"CARIB","PRICO","PRICO",18.1664782,-67.260712,2014,"6/17/2014",292.739288,"PRICO",18.1832885742188,-67.2630615234375,1.16,1.88774967012262
"85",85,"CARIB","PRICO","PRICO",18.1833539,-67.228879,2014,"6/17/2014",292.771121,"PRICO",18.1832885742188,-67.2214050292969,1.16,0.790484491418908
"86",86,"CARIB","PRICO","PRICO",18.2327192,-67.193869,2014,"6/17/2014",292.806131,"PRICO",18.2249450683594,-67.1797409057617,1.14,1.72638057515574
"87",87,"CARIB","PRICO","PRICO",18.2238472,-65.386304,2014,"8/19/2014",294.613696,"PRICO",18.2249450683594,-65.3882827758789,1.2,0.242306109583096
"88",88,"CARIB","PRICO","PRICO",18.2342227,-65.410171,2014,"8/19/2014",294.589829,"PRICO",18.2249450683594,-65.4299392700195,1.22,2.33138439108152
"89",89,"CARIB","PRICO","PRICO",18.2763005,-65.228901,2014,"8/19/2014",294.771099,"PRICO",18.2666034698486,-65.2216339111328,1.18,1.32489832746608
"90",90,"CARIB","PRICO","PRICO",18.2980575,-65.326669,2014,"8/20/2014",294.673331,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.39486392771162
"91",91,"CARIB","PRICO","PRICO",18.2985267,-65.327604,2014,"8/19/2014",294.672396,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.28309274160157
"92",92,"CARIB","PRICO","PRICO",18.2985176,-65.327132,2014,"8/18/2014",294.672868,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.32759408382427
"93",93,"CARIB","PRICO","PRICO",18.3001851,-65.320012,2014,"8/18/2014",294.679988,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.95215456361506
"94",94,"CARIB","PRICO","PRICO",18.3010961,-65.320465,2014,"8/20/2014",294.679535,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.87683556238262
"95",95,"CARIB","PRICO","PRICO",18.3045398,-65.31189,2014,"8/18/2014",294.68811,"PRICO",18.3082599639893,-65.3466186523438,1.18,3.69360971791178
"96",96,"CARIB","PRICO","PRICO",18.3065504,-65.230135,2014,"8/19/2014",294.769865,"PRICO",18.3082599639893,-65.2216339111328,1.18,0.918372354343788
"97",97,"CARIB","PRICO","PRICO",18.3088811,-65.326441,2014,"8/18/2014",294.673559,"PRICO",18.3082599639893,-65.3466186523438,1.18,2.13358239198758
"98",98,"CARIB","PRICO","PRICO",18.309601,-65.316978,2014,"8/20/2014",294.683022,"PRICO",18.3082599639893,-65.3466186523438,1.18,3.13610108048772
"99",99,"CARIB","PRICO","PRICO",18.3117778,-65.336299,2014,"8/18/2014",294.663701,"PRICO",18.3082599639893,-65.3466186523438,1.18,1.15879146932209
