"","X","OCEAN","JURISDICTION","REGION","cell_2.5","lat_bin_2.5","long_bin_2.5","c_sst_mean","c_sst_sd","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","not_oasis","oasis","oasis_present","Ji","c_sst_mean_z","c_sst_sd_z","human_pop50_log_z","kd490_cv_z","kd490_mean_z","kd490_sd_z","land_area50_log_z","nAll_30yr_z","npp_cv_z","npp_mean_z","npp_sd_z","sst_cv_z","sst_mean_z","sst_sd_z","wave_cv_z","wave_mean_z","wave_sd_z","y_pred_prob"
"1",1,"CARIB","FLORIDA","Keys_lower","-81.312_24.562",24.5625,-81.3125,26.63,2.51,10.7575962199458,0.257354459,0.06080778,0.015649153,5.60485444942675,0.000307142899837345,0.2121118975,948.46972095,201.15359085,0.091899304,26.63247,2.447505465,0.403378432,1.150216678,0.464352018,2,0,0,2,0.689052852596684,-0.49316690873013,0.158603379416448,0.0884908773417236,-0.563997582286846,-0.573992203604826,0.408450847873318,-0.688534507036873,0.806377178814228,0.613462635729937,1.1347720580062,-0.590377760265331,0.738464112753972,-0.582263916222587,0.248027299983916,0.120308231775735,0.1278193786567,0.151974951051076
"2",2,"CARIB","FLORIDA","Keys_lower","-81.354_24.562",24.5625,-81.35416667,26.63,2.53,10.8568485828729,0.298522093,0.08760554,0.026152189,5.61909002427475,0.00142905267188326,0.214442964,936.4059418,200.8056657,0.095025209,26.63695,2.53118174,0.396400147,1.095845509,0.434393321,1,0,0,1,0.689052852596684,-0.405362785970966,0.178053299305978,0.428869716766866,-0.241798231530283,0.0367708937605011,0.436712672504692,-0.332307786759251,0.928393384224683,0.372517210678462,1.11569403337637,-0.437778990131535,0.775777675284322,-0.426361526259562,0.129764481448533,0.0440742600204839,0.033650649972177,0.22021263949703
"3",3,"CARIB","FLORIDA","Keys_lower","-81.396_24.562",24.5625,-81.39583333,26.61,2.575,10.8077975012092,0.261537318,0.1173131,0.030681754,5.60254639016741,0.000497616045176983,0.209328061,935.30048252,195.7993252,0.100161069,26.59639,2.663922859,0.3975950742,1.018571429,0.4070409038,10,0,0,10,0.50090746082773,-0.207803509762847,0.168441038391294,0.123075247478201,0.115386717680458,0.300170081301854,0.403868667896539,-0.628055825456653,0.660661401845565,0.350438278961884,0.841177841131205,-0.18705930428716,0.437956671661138,-0.179043422072129,0.150015224806908,-0.0642719488339367,-0.0523257980079433,0.443464224241036
"4",4,"CARIB","FLORIDA","Keys_lower","-81.396_24.604",24.60416667,-81.39583333,26.57,2.78,10.8281486462166,0.176038698,0.1678427,0.02954681,5.61341482941714,0.00481260164524429,0.211895259,942.7822685,199.7710933,0.118667117,26.49917,3.144580099,0.327699485,0.535223817,0.175392569,5,0,0,5,0.124616677289823,0.692188748518585,0.172429136290231,-0.5838373977336,0.722922732406645,0.234171839195839,0.425445732916553,0.742030438748059,0.795037559066866,0.499869239250583,1.0589645968049,0.716359118485443,-0.371780950928768,0.716498503868423,-1.03452358121538,-0.741975019760662,-0.780462578789925,0.782089910011999
"5",5,"CARIB","FLORIDA","Keys_lower","-81.438_24.521",24.52083333,-81.4375,26.63,2.51,10.821942195247,0.240125001,0.0523961,0.012581614,5.58105703845859,0.00128930289065465,0.195733264,938.8301984,183.7602994,0.091789491,26.62373,2.443778632,0.416658857,1.322788358,0.551151485,1,0,0,1,0.689052852596684,-0.49316690873013,0.17121289346642,-0.053964307669983,-0.665134312922987,-0.752372970930477,0.361205951713932,-0.376680879379522,-0.0509380069509839,0.420935996339075,0.181033466021822,-0.595738552978066,0.66566935013889,-0.589207606912608,0.473094131139101,0.362271478489746,0.400654858046349,0.200185220021775
"6",6,"CARIB","FLORIDA","Keys_lower","-81.438_24.562",24.5625,-81.4375,26.6075,2.6325,10.8261739191964,0.209267728,0.1371175,0.028694268,5.59753443850209,0.00261971124215052,0.20267657325,933.816512925,189.22758985,0.105367998,26.5427,2.796751151,0.398696876,0.965545696,0.3879627025,2,2,1,4,0.477389286856632,0.0446333431697523,0.172042160290732,-0.309095869798736,0.353502322198272,0.184595584048848,0.393918462124136,0.0457479250501575,0.312499178421597,0.320799499903936,0.480825251305375,0.0671297902547392,-0.00922305428878645,0.0684370994676567,0.168687747688297,-0.138619480920721,-0.112294025665121,0.680181929152224
"7",7,"CARIB","FLORIDA","Keys_lower","-81.438_24.604",24.60416667,-81.4375,26.54,2.86,10.8103394487263,0.172820746,0.1786363,0.030872059,5.60402705263776,0.000536355960648507,0.204018501,948.2802462,193.4667139,0.120289011,26.52431,3.190583019,0.390416891,0.862505946,0.33673689,2,0,0,2,-0.157601410363625,1.04340523955524,0.168939169358792,-0.61044380331634,0.852698165589345,0.311236526398691,0.406808220638326,-0.615755198992648,0.382740388610148,0.609678326218992,0.713272123958343,0.795535878395736,-0.162391896907882,0.802209360061266,0.0283646792652261,-0.28309180946617,-0.273311363600638,0.895046152344615
"8",8,"CARIB","FLORIDA","Keys_lower","-81.479_24.521",24.52083333,-81.47916667,26.624,2.542,10.8178939514871,0.276853072,0.06049995,0.016749597,5.57883434512377,0.00122622026945464,0.195733264,938.8301984,183.7602994,0.093245391,26.6215,2.48233217,0.416658857,1.322788358,0.551151485,5,0,0,5,0.632609235065995,-0.352680312315467,0.170419582209117,0.249707702757048,-0.56769873589608,-0.510000174450866,0.356793248334621,-0.396710756840716,-0.0509380069509839,0.420935996339075,0.181033466021822,-0.524665200000994,0.647095858075803,-0.517376150317171,0.473094131139101,0.362271478489746,0.400654858046349,0.221018940081329
"9",9,"CARIB","FLORIDA","Keys_lower","-81.479_24.562",24.5625,-81.47916667,26.6,2.67,10.8099718944944,0.172983003,0.1516193,0.026227562,5.58138109162965,0.00303864038083702,0.195733264,938.8301984,183.7602994,0.111838102,26.50576,2.964353893,0.416658857,1.322788358,0.551151485,1,0,0,1,0.40683476494327,0.209266073343183,0.168867141850796,-0.609102243358131,0.527862811463103,0.0411539166252916,0.361849293060471,0.178765532010548,-0.0509380069509839,0.420935996339075,0.181033466021822,0.382983891079221,-0.316893366760214,0.380708027423715,0.473094131139101,0.362271478489746,0.400654858046349,0.856848619786768
"10",10,"CARIB","FLORIDA","Keys_lower","-81.521_24.521",24.52083333,-81.52083333,26.609,2.529,10.7471650603102,0.335995315,0.07818443,0.026269602,5.55213725811761,0.00427273586392403,0.1962135918,921.09291159,180.7306619,0.095553547,26.62536,2.544147598,0.4053865705,1.2796370291,0.518828768,10,0,0,10,0.491500191239271,-0.409752992108923,0.156559244513426,0.738702723295264,-0.355071711306434,0.0435985888717961,0.303791637989208,0.570613252213417,-0.0257959633803035,0.0666756889713483,0.0149072206369624,-0.411986866245828,0.679245490077414,-0.402204042550815,0.282059747643967,0.301768876668473,0.299055340299645,0.268415062627183
"11",11,"CARIB","FLORIDA","Keys_lower","-81.562_24.521",24.52083333,-81.5625,26.6,2.52,10.6567379644913,0.325100654,0.08766996,0.028501561,5.53222001041121,0.00270602317177691,0.195832314,927.8552082,181.7040326,0.099661495,26.60019,2.651014711,0.393021736,1.22060567,0.47972456,6,0,0,6,0.40683476494327,-0.449264847350547,0.138838761920864,0.648624384882365,-0.241023686113959,0.173389460009667,0.264250013023,0.0731535296520076,-0.0457533821683329,0.201736552632849,0.0682807413167906,-0.211447242497318,0.469606568450308,-0.20309338274732,0.0725096678330191,0.219000839028828,0.176139662305533,0.331087719339673
"12",12,"CARIB","FLORIDA","Keys_lower","-81.562_24.562",24.5625,-81.5625,26.522,2.728,8.51919740428749,0.169010742,0.1498795,0.025331246,5.52117372231968,0.00155862350715324,0.1939745416,926.5122832,179.7235376,0.116574329,26.49333,3.088442164,0.382480126,1.069331369,0.412004056,4,1,1,5,-0.32693226295566,0.46389802934476,-0.280042879084638,-0.641945364463263,0.506944554472732,-0.0109678447757071,0.242319865473371,-0.29116669427399,-0.142995712562715,0.174914805408037,-0.0403171349484359,0.614194505373155,-0.420421844941567,0.611904480842315,-0.106141750173092,0.00689870839909487,-0.0367251951866058,0.881976768116487
"13",13,"CARIB","FLORIDA","Keys_lower","-81.562_24.604",24.60416667,-81.5625,26.43,2.93,0.0205105329802821,0.205982989,0.1852151,0.03815116,5.50946156743793,0.00453559624846093,0.191187883,924.4978957,176.7527951,0.122791083,26.544,3.259366503,0.361056894,0.568820291,0.205376487,1,0,0,1,-1.19240106509289,1.35071966921232,-1.94548210831997,-0.336254478151951,0.931797504069773,0.73452425699345,0.219067775490499,0.654076196389167,-0.288859208154286,0.134682184570819,-0.203213949346274,0.917680700450855,0.00160454198119195,0.930364079491397,-0.469206858356178,-0.694869307356501,-0.686214573309547,0.985866351994039
"14",14,"CARIB","FLORIDA","Keys_lower","-81.604_24.521",24.52083333,-81.60416667,26.59,2.55666666666667,10.6497568721506,0.293060638,0.1152937,0.033788045,5.51333668396225,0.00487985943444073,0.194927803666667,906.5515164,176.6435043,0.105556395,26.52053,2.799411545,0.394722330666667,1.291339605,0.511772480333333,8,1,1,9,0.312762069058776,-0.28829062229208,0.137470717042496,0.383713764533307,0.091106726781301,0.480804320057014,0.226761027417868,0.763386007845993,-0.0930986289160678,-0.223754250215331,-0.209206768704731,0.0763268549438119,-0.193875215292875,0.0733938423776783,0.101330089822984,0.31817709185002,0.276875415758792,0.576580668213031
"15",15,"CARIB","FLORIDA","Keys_lower","-81.604_24.562",24.5625,-81.60416667,26.51,2.74,0.00134789473400509,0.163899077,0.1532005,0.025109421,5.51667369896298,0.00258251248858869,0.191187883,924.4978957,176.7527951,0.118950281,26.48547,3.150454094,0.361056894,0.568820291,0.205376487,1,1,1,2,-0.439819498017039,0.516580503000259,-1.94923730132264,-0.684209211839824,0.546874162166157,-0.0238672125464226,0.233385988738343,0.0339366454714268,-0.288859208154286,0.134682184570819,-0.203213949346274,0.730182468250125,-0.485887157773879,0.727442703513195,-0.469206858356178,-0.694869307356501,-0.686214573309547,0.971591721466521
"16",16,"CARIB","FLORIDA","Keys_lower","-81.646_24.479",24.47916667,-81.64583333,26.586,2.536,10.6577100063516,0.2136488,0.05346442,0.011422609,5.52790602008662,0.00497532651294023,0.1835950556,935.10861728,171.62500696,0.092329743,26.61446,2.457306249,0.3995920898,1.2618886184,0.5043045178,10,0,0,10,0.275132990704972,-0.379021549143216,0.139029247424224,-0.272872651267451,-0.652289507595965,-0.819770386655026,0.255685466854907,0.793698538421731,-0.686294454074783,0.346606225073166,-0.484389565513954,-0.569364817767839,0.58846025981379,-0.564003475624444,0.183859169775496,0.276883779200651,0.253401479705176,0.263804172469442
"17",17,"CARIB","FLORIDA","Keys_lower","-81.646_24.521",24.52083333,-81.64583333,26.56,2.6325,10.6377109356507,0.205624123,0.133038,0.027355822,5.52496346187304,0.00215027026017196,0.1868977565,925.5179447,172.88924095,0.108718123,26.50606,2.881689088,0.37193034625,1.05284218375,0.39899993325,4,0,0,4,0.0305439814053625,0.0446333431697503,0.13511014352055,-0.339221624444331,0.304452989290917,0.106763476778509,0.249843618872815,-0.103308109170108,-0.513419492582395,0.155055248170741,-0.415066933335478,0.23067441326615,-0.314394690697888,0.226690169132013,-0.28493162306629,-0.0162208254592927,-0.0776008616758723,0.727827418106344
"18",18,"CARIB","FLORIDA","Keys_lower","-81.646_24.562",24.5625,-81.64583333,26.51,2.74,10.6490746522545,0.156202282,0.1485764,0.023207973,5.53964298918066,0.00165215852903202,0.181393255,941.502399,170.7821843,0.117363982,26.53505,3.114259141,0.313434829,0.339397791,0.106379089,0,1,1,1,-0.439819498017039,0.516580503000259,0.137337026297673,-0.747847218080193,0.491276902625306,-0.134438505452503,0.27898682038517,-0.261467626750751,-0.801544428403041,0.474306876341451,-0.530604653632938,0.652743366145464,-0.0729392938774941,0.660005671005481,-1.27627043219634,-1.01654325159373,-0.997391628597891,0.780374580968424
"19",19,"CARIB","FLORIDA","Keys_lower","-81.688_24.479",24.47916667,-81.6875,26.5766666666667,2.52,10.6254445762355,0.271201809,0.06218111,0.01686363,5.51530190325347,4.63862670585513e-07,0.185638125666667,926.507721466667,171.963331766667,0.094353002,26.59448,2.509269017,0.398293926333333,1.20128381133333,0.478472793666667,6,0,0,6,0.187331807879485,-0.449264847350547,0.13270637497614,0.20298239565715,-0.547485529250528,-0.503369030057773,0.230662568701843,-0.785910668926069,-0.579352993193101,0.174823695585543,-0.46583796326712,-0.470594434450965,0.422048434064494,-0.467188461807276,0.161858854441906,0.191909605661129,0.172205003724752,0.250404747709715
"20",20,"CARIB","FLORIDA","Keys_lower","-81.688_24.521",24.52083333,-81.6875,26.564,2.614,10.6177405990589,0.216105336,0.1288659,0.027848609,5.53382056648507,0.00262743868515827,0.181393255,941.502399,170.7821843,0.110639156,26.49739,2.931648853,0.3460984298,0.7872423258,0.2784450468,3,2,1,5,0.0681730597591332,-0.0365854703824763,0.131196670476462,-0.252561722718919,0.25429029243523,0.135419582923567,0.267427590012693,0.0482015284925841,-0.801544428403041,0.474306876341451,-0.530604653632938,0.324454382006862,-0.386606428898425,0.319773265451622,-0.722711858116523,-0.388619146877744,-0.456539251209421,0.70132439781973
"21",21,"CARIB","FLORIDA","Keys_lower","-81.688_24.562",24.5625,-81.6875,26.42,2.77,10.6599983825326,0.185030475,0.151187,0.027974202,5.53693830965643,0.000997722116298974,0.181393255,941.502399,170.7821843,0.119523824,26.58802,3.177901824,0.313434829,0.339397791,0.106379089,2,0,0,2,-1.28647376097735,0.648286687139004,0.139477687462172,-0.509492328021075,0.522665109142757,0.142722954033349,0.273617231927081,-0.469263068725568,-0.801544428403041,0.474306876341451,-0.530604653632938,0.758181385817628,0.368243609522926,0.778582249412673,-1.27627043219634,-1.01654325159373,-0.997391628597891,0.778004213740941
"22",22,"CARIB","FLORIDA","Keys_lower","-81.729_24.479",24.47916667,-81.72916667,26.57,2.53818181818182,10.6177083933625,0.313138876,0.07226177,0.022627969,5.50095109757671,0.00018122534151189,0.186841406,919.578196218182,171.813891709091,0.096141544,26.58256,2.555688361,0.397712158090909,1.17147957827273,0.465920193272727,11,0,0,11,0.124616677289823,-0.369442917569489,0.131190359309683,0.549722997615339,-0.426282036600484,-0.168166376091457,0.202171976808915,-0.728515617769018,-0.516369075609299,0.0364228358183848,-0.474032315124449,-0.383282340982789,0.322767705189041,-0.380701740569795,0.151999476086986,0.150121005137768,0.132748600771642,0.276053507732568
