"","SITE","REGION","REGION_SUB","YEAR","DATE","SI_LATI","SI_LONG","DEPTH","HABITAT","REEF_ZONE","OCEAN","coral_cover","SI_LONG_360","JURISDICTION","c_sst_mean","c_sst_sd","human_pop50","human_pop50_log","kd490_cv","kd490_mean","kd490_sd","land_area50","land_area50_log","nAll_30yr","npp_cv","npp_mean","npp_sd","sst_cv","sst_mean","sst_sd","wave_cv","wave_mean","wave_sd","long_bin_0.5","lat_bin_0.5","long_bin_2.5","lat_bin_2.5","admin","my_cell"
"1","FGBNMS-1","FGB_E","FGB_E",2013,2013-09-02,27.9098014,-93.599206,22.4028,"HR","Not available","CARIB",72,266.400794,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,0,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.5958333333333,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"2","FGBNMS-10","FGB_E","FGB_E",2013,2013-09-02,27.9093522,-93.598695,19.5072,"HR","Not available","CARIB",47,266.401305,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,0,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.5958333333333,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"3","FGBNMS-100","FGB_E","FGB_E",2015,2015-08-28,27.9084318,-93.602755,27.1272,"HR","Not available","CARIB",50,266.397245,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"4","FGBNMS-101","FGB_E","FGB_E",2015,2015-08-24,27.9093345,-93.60276,28.4988,"HR","Not available","CARIB",86,266.39724,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"5","FGBNMS-102","FGB_E","FGB_E",2015,2015-08-24,27.9097859,-93.602762,29.1084,"HR","Not available","CARIB",67,266.397238,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"6","FGBNMS-103","FGB_E","FGB_E",2015,2015-08-28,27.9197155,-93.602817,30.7848,"HR","Not available","CARIB",79,266.397183,"FGBNMS",25.05,3.51,0,0,0.239874411689534,0.04569997,0.0109622534179794,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.136607883998834,25.18052,3.43985755519033,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9208333333333,-93.6041666666667,27.9375,"NMS","-93.6041666666667_27.9375"
"7","FGBNMS-104","FGB_E","FGB_E",2015,2015-08-24,27.9079827,-93.602244,26.5176,"HR","Not available","CARIB",70.408163259,266.397756,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9041666666667,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"8","FGBNMS-105","FGB_E","FGB_E",2015,2015-08-24,27.909339,-93.601744,23.7744,"HR","Not available","CARIB",67.647058824,266.398256,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"9","FGBNMS-106","FGB_E","FGB_E",2015,2015-08-24,27.9102439,-93.60124,29.4132,"HR","Not available","CARIB",90,266.39876,"FGBNMS",25.05,3.51,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,3,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
"10","FGBNMS-107","FGB_E","FGB_E",2015,2015-08-24,27.9084407,-93.600722,23.3172,"HR","Not available","CARIB",68.686868681,266.399278,"FGBNMS",25.0700000000001,3.47,0,0,0.237125000702979,0.04474948,0.0106112204764579,0,0,2,0.256165981971189,1050.33515102646,269.06013536155,0.134780836461631,25.21803,3.3989071773145,0.468644687550598,6.30545140717791,2.95501630458237,-93.6041666666667,27.9125,-93.6041666666667,27.8958333333333,"NMS","-93.6041666666667_27.8958333333333"
