"","covariate","column_n","GVIF","GVIF_final"
"1","human_pop50_log_z",890,2.32866609690657,1.33255385644627
"2","kd490_cv_z",890,1.33701906506377,1.30505287977175
"3","kd490_mean_z",890,1.42608226619779,1.40974478868894
"4","land_area50_log_z",890,2.95817955349645,NA
"5","nAll_30yr_z",890,1.17690347734056,1.17685028556951
"6","npp_cv_z",890,1.31951798131799,1.25163096479226
"7","npp_mean_z",890,1.30422451698526,1.30110093365119
"8","sst_cv_z",890,1.53421989930032,1.53067384362684
"9","sst_mean_z",890,1.67682878998796,1.67427775032162
"10","wave_cv_z",890,1.30171636457319,1.27101667495667
"11","wave_mean_z",890,1.72697688004645,1.44292651673712
