"","covariate","column_n","GVIF","GVIF_final"
"1","human_pop50_log_z",890,3.40097995738071,1.48708024018543
"2","kd490_cv_z",890,1.39783642567619,1.22720924035171
"3","kd490_mean_z",890,2.17849327517058,2.09061315993416
"4","land_area50_log_z",890,4.60530604216849,NA
"5","nAll_30yr_z",890,1.2616735444234,1.20272458242751
"6","npp_cv_z",890,1.49638402401274,1.30460605989157
"7","npp_mean_z",890,1.31097073839484,1.21611919551412
"8","sst_cv_z",890,5.2673177801927,2.35462498115073
"9","sst_mean_z",890,4.257888526061,NA
"10","wave_cv_z",890,1.25861923526341,1.10755848666223
"11","wave_mean_z",890,1.37459441070085,1.27907460657435
