"","n_cells_model","n_cells_null","n_cells_oasis","model_null_ratio","lrr","null_percentage","model_percentage"
"1",44,20,129,2.2,0.78845736036427,15.5038759689922,34.1085271317829
"2",33,23,129,1.43478260869565,0.36101334553733,17.8294573643411,25.5813953488372
"3",40,22,129,1.81818181818182,0.59783700075562,17.0542635658915,31.0077519379845
"4",37,21,129,1.76190476190476,0.566395474920801,16.2790697674419,28.6821705426357
"5",33,15,129,2.2,0.78845736036427,11.6279069767442,25.5813953488372
"6",38,27,129,1.40740740740741,0.341749293722057,20.9302325581395,29.4573643410853
"7",34,16,129,2.125,0.75377180237638,12.4031007751938,26.3565891472868
"8",34,25,129,1.36,0.307484699747961,19.3798449612403,26.3565891472868
"9",39,20,129,1.95,0.667829372575655,15.5038759689922,30.2325581395349
"10",30,17,129,1.76470588235294,0.567984037605939,13.1782945736434,23.2558139534884
"11",28,29,129,0.96551724137931,-0.0350913198112701,22.4806201550388,21.7054263565891
"12",28,23,129,1.21739130434783,0.196710294246054,17.8294573643411,21.7054263565891
"13",32,22,129,1.45454545454545,0.374693449441411,17.0542635658915,24.8062015503876
"14",30,22,129,1.36363636363636,0.310154928303839,17.0542635658915,23.2558139534884
"15",39,22,129,1.77272727272727,0.572519192771331,17.0542635658915,30.2325581395349
"16",39,22,129,1.77272727272727,0.572519192771331,17.0542635658915,30.2325581395349
"17",31,19,129,1.63157894736842,0.489548225318706,14.7286821705426,24.031007751938
"18",35,20,129,1.75,0.559615787935423,15.5038759689922,27.1317829457364
"19",35,28,129,1.25,0.22314355131421,21.7054263565891,27.1317829457364
"20",34,19,129,1.78947368421053,0.581921545449721,14.7286821705426,26.3565891472868
"21",46,26,129,1.76923076923077,0.570544858467613,20.1550387596899,35.6589147286822
"22",40,21,129,1.9047619047619,0.644357016390513,16.2790697674419,31.0077519379845
"23",40,20,129,2,0.693147180559945,15.5038759689922,31.0077519379845
"24",34,12,129,2.83333333333333,1.04145387482816,9.30232558139535,26.3565891472868
"25",37,20,129,1.85,0.615185639090233,15.5038759689922,28.6821705426357
"26",38,25,129,1.52,0.418710334858185,19.3798449612403,29.4573643410853
"27",27,19,129,1.42105263157895,0.351397886837889,14.7286821705426,20.9302325581395
"28",39,23,129,1.69565217391304,0.528067430200497,17.8294573643411,30.2325581395349
"29",33,21,129,1.57142857142857,0.451985123743057,16.2790697674419,25.5813953488372
"30",32,24,129,1.33333333333333,0.287682072451781,18.6046511627907,24.8062015503876
"31",40,24,129,1.66666666666667,0.510825623765991,18.6046511627907,31.0077519379845
"32",35,13,129,2.69230769230769,0.990398704027877,10.077519379845,27.1317829457364
"33",28,25,129,1.12,0.113328685307003,19.3798449612403,21.7054263565891
"34",39,25,129,1.56,0.444685821261446,19.3798449612403,30.2325581395349
"35",29,25,129,1.16,0.148420005118273,19.3798449612403,22.4806201550388
"36",34,22,129,1.54545454545455,0.435318071257845,17.0542635658915,26.3565891472868
"37",31,21,129,1.47619047619048,0.389464766761723,16.2790697674419,24.031007751938
"38",26,19,129,1.36842105263158,0.313657558855042,14.7286821705426,20.1550387596899
"39",28,18,129,1.55555555555556,0.441832752279039,13.953488372093,21.7054263565891
"40",36,17,129,2.11764705882353,0.750305594399894,13.1782945736434,27.906976744186
"41",31,29,129,1.06896551724138,0.0666913744986721,22.4806201550388,24.031007751938
"42",24,23,129,1.04347826086957,0.0425596144187959,17.8294573643411,18.6046511627907
"43",37,31,129,1.19354838709677,0.176930708159078,24.031007751938,28.6821705426357
"44",30,19,129,1.57894736842105,0.456758402495715,14.7286821705426,23.2558139534884
"45",32,21,129,1.52380952380952,0.421213465076303,16.2790697674419,24.8062015503876
"46",31,19,129,1.63157894736842,0.489548225318706,14.7286821705426,24.031007751938
"47",36,22,129,1.63636363636364,0.492476485097794,17.0542635658915,27.906976744186
"48",37,23,129,1.60869565217391,0.475423696715075,17.8294573643411,28.6821705426357
"49",31,22,129,1.40909090909091,0.34294475112683,17.0542635658915,24.031007751938
"50",34,29,129,1.17241379310345,0.159064694629687,22.4806201550388,26.3565891472868
"51",38,21,129,1.80952380952381,0.593063722002963,16.2790697674419,29.4573643410853
"52",33,23,129,1.43478260869565,0.36101334553733,17.8294573643411,25.5813953488372
"53",41,22,129,1.86363636363636,0.622529613345992,17.0542635658915,31.7829457364341
"54",38,22,129,1.72727272727273,0.54654370636807,17.0542635658915,29.4573643410853
"55",45,18,129,2.5,0.916290731874155,13.953488372093,34.8837209302326
"56",42,27,129,1.55555555555556,0.441832752279039,20.9302325581395,32.5581395348837
"57",44,14,129,3.14285714285714,1.145132304303,10.8527131782946,34.1085271317829
"58",37,25,129,1.48,0.392042087776024,19.3798449612403,28.6821705426357
"59",37,22,129,1.68181818181818,0.519875459285909,17.0542635658915,28.6821705426357
"60",39,22,129,1.77272727272727,0.572519192771331,17.0542635658915,30.2325581395349
"61",38,23,129,1.65217391304348,0.502091943797236,17.8294573643411,29.4573643410853
"62",28,24,129,1.16666666666667,0.154150679827258,18.6046511627907,21.7054263565891
"63",48,26,129,1.84615384615385,0.613104472886409,20.1550387596899,37.2093023255814
"64",41,18,129,2.27777777777778,0.823200308808143,13.953488372093,31.7829457364341
