"","covariate","column_n","GVIF","GVIF_final"
"1","human_pop50_log_z",890,3.82348135247488,1.75966300177616
"2","kd490_cv_z",890,1.48729012942644,1.36334208347325
"3","kd490_mean_z",890,2.82711013881035,2.35544416707579
"4","land_area50_log_z",890,5.55821954777448,NA
"5","nAll_30yr_z",890,1.48043512421255,1.28985972202558
"6","npp_cv_z",890,1.72725317041137,1.34762817853875
"7","npp_mean_z",890,2.15585523823469,1.91219097745883
"8","sst_cv_z",890,4.95346532399571,2.15080412260483
"9","sst_mean_z",890,3.0409005672022,NA
"10","wave_cv_z",890,1.24742337972424,1.11571109501575
"11","wave_mean_z",890,2.4513480146717,1.82948826731146
