"","Spatial extent","Chi2","Freeman-Tukey"
"1","Cross-basin",0.464083333333333,0.211708333333333
"2","Basin",0.176125,0.235458333333333
"3","Region",0.118166666666667,0.204708333333333
"4","Sub-region",0.147083333333333,0.130458333333333
