"","n_cells_model","n_cells_null","n_cells_oasis","model_null_ratio","lrr","null_percentage","model_percentage"
"1",20,17,125,1.17647058823529,0.162518929497775,13.6,16
"2",34,26,125,1.30769230769231,0.268263986594679,20.8,27.2
"3",39,19,125,2.05263157894737,0.719122666963206,15.2,31.2
"4",31,15,125,2.06666666666667,0.725937003382936,12,24.8
"5",34,20,125,1.7,0.53062825106217,16,27.2
"6",30,11,125,2.72727272727273,1.00330210886378,8.8,24
"7",40,20,125,2,0.693147180559945,16,32
"8",38,17,125,2.23529411764706,0.80437281567017,13.6,30.4
"9",20,16,125,1.25,0.22314355131421,12.8,16
"10",30,19,125,1.57894736842105,0.456758402495715,15.2,24
"11",36,18,125,2,0.693147180559945,14.4,28.8
"12",38,15,125,2.53333333333333,0.929535958624176,12,30.4
"13",39,17,125,2.29411764705882,0.83034830207343,13.6,31.2
"14",44,17,125,2.58823529411765,0.950976289862045,13.6,35.2
"15",26,18,125,1.44444444444444,0.367724780125317,14.4,20.8
"16",33,10,125,3.3,1.19392246847243,8,26.4
"17",25,20,125,1.25,0.22314355131421,16,20
"18",38,24,125,1.58333333333333,0.45953232937844,19.2,30.4
"19",34,22,125,1.54545454545455,0.435318071257845,17.6,27.2
"20",29,20,125,1.45,0.371563556432483,16,23.2
"21",13,15,125,0.866666666666667,-0.143100843640673,12,10.4
"22",40,21,125,1.9047619047619,0.644357016390513,16.8,32
"23",36,17,125,2.11764705882353,0.750305594399894,13.6,28.8
"24",17,16,125,1.0625,0.0606246218164348,12.8,13.6
"25",27,20,125,1.35,0.300104592450338,16,21.6
"26",23,11,125,2.09090909090909,0.737598943130779,8.8,18.4
"27",23,19,125,1.21052631578947,0.191055236762709,15.2,18.4
"28",18,18,125,1,0,14.4,14.4
"29",26,14,125,1.85714285714286,0.619039208406224,11.2,20.8
"30",33,17,125,1.94117647058824,0.663294217410264,13.6,26.4
"31",33,16,125,2.0625,0.723918839226699,12.8,26.4
"32",20,18,125,1.11111111111111,0.105360515657826,14.4,16
"33",37,14,125,2.64285714285714,0.971860583028966,11.2,29.6
"34",36,23,125,1.56521739130435,0.44802472252696,18.4,28.8
"35",28,15,125,1.86666666666667,0.624154309072994,12,22.4
"36",21,20,125,1.05,0.048790164169432,16,16.8
"37",36,24,125,1.5,0.405465108108164,19.2,28.8
"38",32,21,125,1.52380952380952,0.421213465076303,16.8,25.6
"39",30,15,125,2,0.693147180559945,12,24
"40",41,12,125,3.41666666666667,1.22866541691631,9.6,32.8
"41",41,18,125,2.27777777777778,0.823200308808143,14.4,32.8
"42",28,25,125,1.12,0.113328685307003,20,22.4
"43",38,12,125,3.16666666666667,1.15267950993839,9.6,30.4
"44",32,17,125,1.88235294117647,0.63252255874351,13.6,25.6
"45",33,9,125,3.66666666666667,1.29928298413026,7.2,26.4
"46",30,19,125,1.57894736842105,0.456758402495715,15.2,24
