"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"eta",0.0558744029057608,0.0208853586119081,0.145836878214824,0.95,"median","qi","PRICO"
"2","French Frigate",2,"eta",0.253074764553974,0.111544137025764,0.48604076431088,0.95,"median","qi","NWHI"
"3","Guam",3,"eta",0.0673784420977022,0.0058380068210483,0.448865754343448,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"eta",0.129951062643442,0.0409626405093737,0.323818700572688,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"eta",0.149999601884531,0.034929562147251,0.464344441034326,0.95,"median","qi","MHI"
"6","Kauai",6,"eta",0.0641312503495168,0.00573196602279351,0.428283977916032,0.95,"median","qi","MHI"
"7","Keys_lower",7,"eta",0.290897163216752,0.168262489245943,0.442708144433654,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"eta",0.536408453127402,0.299541873404791,0.768698100256431,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"eta",0.064270454847506,0.0185891465904129,0.189529367842779,0.95,"median","qi","FLORIDA"
"10","Kure",10,"eta",0.080118617947693,0.00720396219093166,0.500963214235699,0.95,"median","qi","NWHI"
"11","Lanai",11,"eta",0.158886188383547,0.0436652294096485,0.42790631769502,0.95,"median","qi","MHI"
"12","Lisianski",12,"eta",0.0585564396040581,0.0103604321587108,0.310064533371555,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"eta",0.16804140408199,0.0987399523550487,0.266933917753728,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"eta",0.0688022106245022,0.00570056613768651,0.457424673030485,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"eta",0.0724519567629721,0.0107085185243674,0.397552733931865,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"eta",0.0525990669155004,0.0136808395317718,0.139397244881086,0.95,"median","qi","MARIAN"
"17","Maui",17,"eta",0.179737225508419,0.089956442703797,0.325898736999138,0.95,"median","qi","MHI"
"18","Molokai",18,"eta",0.425686937732762,0.28299231288907,0.571089851643773,0.95,"median","qi","MHI"
"19","Niihau",19,"eta",0.0701425129437495,0.00576832403203067,0.467992166314259,0.95,"median","qi","MHI"
"20","NPRICO",20,"eta",0.109392594865097,0.0356209883890868,0.284102578613064,0.95,"median","qi","PRICO"
