"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"49","Maui",17,"eta",0.1886047550573,0.121593181553401,0.277035323523108,0.8,"median","qi","MHI"
"50","Molokai",18,"eta",0.455248179190127,0.361321546365331,0.552021602488532,0.8,"median","qi","MHI"
"51","Niihau",19,"eta",0.0446972315446957,0.00962446637148845,0.202475600603644,0.8,"median","qi","MHI"
"52","NPRICO",20,"eta",0.130384858995848,0.0642294004349138,0.243706126035576,0.8,"median","qi","PRICO"
"53","Oahu",21,"eta",0.0493737405533199,0.0137663957840789,0.157017683748967,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"eta",0.0565496179600425,0.0130165943930913,0.212307529353222,0.8,"median","qi","NWHI"
"55","Rose",23,"eta",0.066318853016002,0.0136169503651066,0.285219430125168,0.8,"median","qi","SAMOA"
"56","Rota",24,"eta",0.0848042331046792,0.0193201022432948,0.299803958277377,0.8,"median","qi","MARIAN"
"57","SEFCRI",25,"eta",0.0784233095122077,0.0166013607565001,0.291287688614157,0.8,"median","qi","FLORIDA"
"58","STJ",26,"eta",0.0510274025311322,0.0351988399310355,0.0705286359521896,0.8,"median","qi","USVI"
"59","STT",27,"eta",0.0712438695580702,0.0504952585195869,0.0974734402769762,0.8,"median","qi","USVI"
"60","STT_STJ_offshore",28,"eta",0.382824744478986,0.242256865945565,0.541612453504188,0.8,"median","qi","USVI"
"61","STX",29,"eta",0.0520171108111238,0.0286652619656093,0.0936343541225464,0.8,"median","qi","USVI"
"62","SWPRICO",30,"eta",0.0604642896447607,0.0379494667905007,0.0943805187663806,0.8,"median","qi","PRICO"
"63","Tortugas",31,"eta",0.0978334831909862,0.0633809422845101,0.146587474986748,0.8,"median","qi","FLORIDA"
"64","Tutuila",32,"eta",0.109528925992651,0.0604056494090158,0.181648365767942,0.8,"median","qi","SAMOA"
