"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"1",1,"psi",0.136022664489632,0.037685643938731,0.364468501123497,0.95,"median","qi","-81.312_24.562"
"2",2,"psi",0.257456032726522,0.0899585454777775,0.536160483236494,0.95,"median","qi","-81.354_24.562"
"3",3,"psi",0.456093461906105,0.213754814833672,0.73127070889435,0.95,"median","qi","-81.396_24.562"
"4",4,"psi",0.878481740181236,0.654327256407426,0.972534703008451,0.95,"median","qi","-81.396_24.604"
"5",5,"psi",0.110352540355977,0.0295634270932786,0.310399119734028,0.95,"median","qi","-81.438_24.521"
"6",6,"psi",0.610282474074667,0.343813047564315,0.842050212150122,0.95,"median","qi","-81.438_24.562"
"7",7,"psi",0.913873474492189,0.724208444981222,0.982244236018669,0.95,"median","qi","-81.438_24.604"
"8",8,"psi",0.138082824690756,0.0397310089034544,0.357403542518248,0.95,"median","qi","-81.479_24.521"
"9",9,"psi",0.737530993322802,0.463208383866291,0.915594508563514,0.95,"median","qi","-81.479_24.562"
"10",10,"psi",0.213333063436746,0.0719743856298685,0.466873093682069,0.95,"median","qi","-81.521_24.521"
"11",11,"psi",0.293522900382181,0.114769441798967,0.564335742535537,0.95,"median","qi","-81.562_24.521"
"12",12,"psi",0.807757340352498,0.553978483759754,0.946163563120484,0.95,"median","qi","-81.562_24.562"
"13",13,"psi",0.96634357857465,0.7990235285646,0.996406788300469,0.95,"median","qi","-81.562_24.604"
"14",14,"psi",0.4490044679062,0.217653478772509,0.721521177354478,0.95,"median","qi","-81.604_24.521"
"15",15,"psi",0.89848791736669,0.588162536585032,0.986176741764748,0.95,"median","qi","-81.604_24.562"
"16",16,"psi",0.118543274144337,0.0322309765787674,0.324833641405073,0.95,"median","qi","-81.646_24.479"
"17",17,"psi",0.615960872477691,0.354450557784057,0.845312684407502,0.95,"median","qi","-81.646_24.521"
"18",18,"psi",0.847067104070659,0.612816485091511,0.961213941587849,0.95,"median","qi","-81.646_24.562"
"19",19,"psi",0.144158862589041,0.0425549614586796,0.364631145086111,0.95,"median","qi","-81.688_24.479"
"20",20,"psi",0.636874492037959,0.369548750171979,0.859679160095408,0.95,"median","qi","-81.688_24.521"
"21",21,"psi",0.891851275286231,0.688465191832535,0.975774206631962,0.95,"median","qi","-81.688_24.562"
"22",22,"psi",0.181481722544135,0.058448311759915,0.419295546837158,0.95,"median","qi","-81.729_24.479"
"23",23,"psi",0.65167083473381,0.380078105962798,0.871076124170989,0.95,"median","qi","-81.729_24.521"
"24",24,"psi",0.20605558929191,0.0692351351661228,0.457812169026831,0.95,"median","qi","-81.771_24.479"
"25",25,"psi",0.271299879515499,0.103912780149255,0.538988032593697,0.95,"median","qi","-81.812_24.479"
"26",26,"psi",0.0858326284818998,0.0215598873958912,0.257242578534643,0.95,"median","qi","-81.854_24.438"
"27",27,"psi",0.404235501817321,0.177405776135073,0.690868387376231,0.95,"median","qi","-81.854_24.479"
"28",28,"psi",0.0950064419711358,0.0248730343374819,0.273634905624702,0.95,"median","qi","-81.896_24.438"
"29",29,"psi",0.342840957627512,0.146101889803044,0.620611489954716,0.95,"median","qi","-81.896_24.479"
"30",30,"psi",0.0926668206889316,0.0242803197926647,0.265609118724897,0.95,"median","qi","-81.938_24.438"
"31",31,"psi",0.29755204035574,0.119625636825329,0.567278539802941,0.95,"median","qi","-81.938_24.479"
"32",32,"psi",0.799223398889443,0.536564963811028,0.943803565298568,0.95,"median","qi","-81.938_24.521"
"33",33,"psi",0.0882175185704762,0.0231212599744318,0.255320704633411,0.95,"median","qi","-81.979_24.438"
"34",34,"psi",0.269999788059831,0.104064078110169,0.536051640158685,0.95,"median","qi","-81.979_24.479"
"35",35,"psi",0.024259197226828,0.00417609622571087,0.102026329093497,0.95,"median","qi","-80.438_24.938"
"36",36,"psi",0.0544083540334073,0.0116806024355043,0.182362661299832,0.95,"median","qi","-80.479_24.938"
"37",37,"psi",0.0451075852016007,0.00689879720138948,0.201302511052667,0.95,"median","qi","-80.521_24.896"
"38",38,"psi",0.2858011825037,0.0850630272579097,0.599650980983575,0.95,"median","qi","-80.521_24.938"
"39",39,"psi",0.0292298336934576,0.00508775337760291,0.122106322387577,0.95,"median","qi","-80.562_24.854"
"40",40,"psi",0.110225033404352,0.0265133920689994,0.325721949519452,0.95,"median","qi","-80.562_24.896"
"41",41,"psi",0.481031797515785,0.186979435686418,0.783992147070185,0.95,"median","qi","-80.562_24.938"
"42",42,"psi",0.0550776762449113,0.0116767703359795,0.188347373838344,0.95,"median","qi","-80.604_24.854"
"43",43,"psi",0.478935962472329,0.182341306024407,0.780542373326313,0.95,"median","qi","-80.604_24.896"
"44",44,"psi",0.0289304854551095,0.00527065064764671,0.114464278792194,0.95,"median","qi","-80.646_24.812"
"45",45,"psi",0.255327383071441,0.080300319841155,0.539097277705273,0.95,"median","qi","-80.646_24.854"
"46",46,"psi",0.0718785618265123,0.0169485667070705,0.219220919731695,0.95,"median","qi","-80.688_24.812"
"47",47,"psi",0.0421733027794376,0.00861013290958871,0.149503780922051,0.95,"median","qi","-80.729_24.771"
"48",48,"psi",0.0285747982198667,0.00509571680302751,0.115991806302567,0.95,"median","qi","-80.771_24.729"
"49",49,"psi",0.265114069685917,0.0843655447058018,0.550113384478095,0.95,"median","qi","-80.771_24.771"
"50",50,"psi",0.0492553694527597,0.0102507188307077,0.172141807363723,0.95,"median","qi","-80.812_24.729"
"51",51,"psi",0.15299466975035,0.0426665423742682,0.381634424493584,0.95,"median","qi","-80.854_24.729"
"52",52,"psi",0.0285046124848872,0.00524418104055741,0.112477716299419,0.95,"median","qi","-80.896_24.688"
"53",53,"psi",0.0683983307623834,0.0155829009442736,0.216143759479973,0.95,"median","qi","-80.938_24.688"
"54",54,"psi",0.575293699365474,0.24268996200349,0.847037558621397,0.95,"median","qi","-80.938_24.729"
"55",55,"psi",0.02672748477432,0.00457502504360242,0.112784048640603,0.95,"median","qi","-80.979_24.646"
"56",56,"psi",0.237947103537787,0.0775327788638447,0.506125079203378,0.95,"median","qi","-80.979_24.688"
"57",57,"psi",0.0394439005539779,0.00748572101345211,0.149287311842941,0.95,"median","qi","-81.021_24.646"
"58",58,"psi",0.0770685059583787,0.0175112738027938,0.242495794063871,0.95,"median","qi","-81.062_24.646"
"59",59,"psi",0.552858399885728,0.216700538560313,0.840887406602329,0.95,"median","qi","-81.062_24.688"
"60",60,"psi",0.027979061067179,0.00492339579342155,0.116215102155031,0.95,"median","qi","-81.104_24.604"
"61",61,"psi",0.240690408022654,0.0726757959368693,0.528448794147215,0.95,"median","qi","-81.104_24.646"
"62",62,"psi",0.442885308820137,0.161667457834247,0.751711436586748,0.95,"median","qi","-81.146_24.646"
"63",63,"psi",0.0543289854668436,0.0116066060901178,0.188227606126457,0.95,"median","qi","-81.188_24.604"
"64",64,"psi",0.115546531395851,0.0297434448293852,0.322660504900702,0.95,"median","qi","-81.229_24.604"
"65",65,"psi",0.312088888610098,0.0990344397988998,0.627577105455459,0.95,"median","qi","-81.271_24.604"
"66",66,"psi",0.168838243346183,0.0245581694254287,0.886830045519661,0.95,"median","qi","-80.104_25.438"
"67",67,"psi",0.124598689555191,0.0161275766733045,0.84674514234204,0.95,"median","qi","-80.104_25.479"
"68",68,"psi",0.154106627176821,0.0198149906145764,0.875558489730367,0.95,"median","qi","-80.104_25.521"
"69",69,"psi",0.582198374254645,0.141401208342491,0.983154996102471,0.95,"median","qi","-80.104_25.562"
"70",70,"psi",0.178881464107216,0.0231089177646698,0.896224461812079,0.95,"median","qi","-80.104_25.604"
"71",71,"psi",0.243169416967875,0.0369167278949883,0.925610407256439,0.95,"median","qi","-80.104_25.646"
"72",72,"psi",0.119230386336537,0.0152561615923315,0.842885233357596,0.95,"median","qi","-80.146_25.312"
"73",73,"psi",0.174166277163676,0.0253772603402805,0.889276912076583,0.95,"median","qi","-80.146_25.354"
"74",74,"psi",0.465709070875789,0.106841792248407,0.972004039484439,0.95,"median","qi","-80.146_25.396"
"75",75,"psi",0.182055241948099,0.0277196199396966,0.895235929515898,0.95,"median","qi","-80.146_25.438"
"76",76,"psi",0.593333305450906,0.169499012493232,0.98286198011692,0.95,"median","qi","-80.146_25.479"
"77",77,"psi",0.136266872856898,0.0176338012205841,0.859800930161956,0.95,"median","qi","-80.188_25.229"
"78",78,"psi",0.121904282751473,0.0162732357716618,0.838588756276911,0.95,"median","qi","-80.188_25.271"
"79",79,"psi",0.24387936097208,0.0420605104153556,0.924114908500932,0.95,"median","qi","-80.188_25.312"
