"",".value",".upper",".variable","effective_size_rjags"
"beta[9]",1.002,1.009,"beta[9]",9138
"alpha[30]",1.002,1.005,"alpha[30]",2198
"beta[10]",1.001,1.005,"beta[10]",9080
"alpha[19]",1.002,1.004,"alpha[19]",2261
"mu.alpha",1.001,1.004,"mu.alpha",2217
"alpha[12]",1.001,1.003,"alpha[12]",10716
"alpha[17]",1.001,1.003,"alpha[17]",1828
"alpha[26]",1.001,1.003,"alpha[26]",2088
"alpha[32]",1.001,1.003,"alpha[32]",3146
"beta[1]",1.001,1.003,"beta[1]",7525
"beta[8]",1.001,1.003,"beta[8]",5709
"sigma.alpha",1.001,1.003,"sigma.alpha",1248
"alpha[1]",1.001,1.002,"alpha[1]",2417
"alpha[3]",1.001,1.002,"alpha[3]",4202
"alpha[6]",1.001,1.002,"alpha[6]",5490
"alpha[10]",1.001,1.002,"alpha[10]",11044
"alpha[14]",1.001,1.002,"alpha[14]",4147
"alpha[16]",1.001,1.002,"alpha[16]",10937
"alpha[18]",1.001,1.002,"alpha[18]",7573
"alpha[22]",1.001,1.002,"alpha[22]",3688
"alpha[25]",1.001,1.002,"alpha[25]",6654
"alpha[31]",1.001,1.002,"alpha[31]",6130
"d.chi2b.sim",1.001,1.002,"d.chi2b.sim",4483
"d.ftd.data",1,1.002,"d.ftd.data",3325
"alpha[2]",1,1.001,"alpha[2]",6219
"alpha[5]",1,1.001,"alpha[5]",4229
"alpha[7]",1,1.001,"alpha[7]",10336
"alpha[8]",1,1.001,"alpha[8]",2145
"alpha[9]",1.001,1.001,"alpha[9]",8144
"alpha[15]",1.001,1.001,"alpha[15]",9706
"alpha[20]",1.001,1.001,"alpha[20]",5227
"alpha[24]",1,1.001,"alpha[24]",6433
"alpha[27]",1.001,1.001,"alpha[27]",2388
"beta[2]",1,1.001,"beta[2]",6558
"d.chi2b.data",1,1.001,"d.chi2b.data",3461
"d.ftd.sim",1,1.001,"d.ftd.sim",4130
"eta[2]",1,1.001,"eta[2]",17414
"eta[5]",1,1.001,"eta[5]",19966
"eta[8]",1,1.001,"eta[8]",4593
"eta[9]",1,1.001,"eta[9]",14761
"eta[10]",1,1.001,"eta[10]",17519
"eta[11]",1,1.001,"eta[11]",16770
"eta[12]",1,1.001,"eta[12]",17939
"eta[14]",1,1.001,"eta[14]",15129
"eta[16]",1,1.001,"eta[16]",19640
"eta[17]",1,1.001,"eta[17]",7713
"eta[18]",1,1.001,"eta[18]",13438
"eta[28]",1,1.001,"eta[28]",16415
"eta[29]",1,1.001,"eta[29]",15180
"eta[30]",1,1.001,"eta[30]",7300
"p.chi2b",1.001,1.001,"p.chi2b",23510
"alpha[4]",1,1,"alpha[4]",5261
"alpha[11]",1,1,"alpha[11]",8688
"alpha[13]",1,1,"alpha[13]",11082
"alpha[21]",1,1,"alpha[21]",7483
"alpha[23]",1,1,"alpha[23]",9382
"alpha[28]",1,1,"alpha[28]",10665
"alpha[29]",1,1,"alpha[29]",7770
"beta[3]",1,1,"beta[3]",9352
"beta[4]",1,1,"beta[4]",10391
"beta[5]",1,1,"beta[5]",10243
"beta[6]",1,1,"beta[6]",10597
"beta[7]",1,1,"beta[7]",8111
"eta[1]",1,1,"eta[1]",12801
"eta[3]",1,1,"eta[3]",13333
"eta[4]",1,1,"eta[4]",9378
"eta[6]",1,1,"eta[6]",16554
"eta[7]",1,1,"eta[7]",13424
"eta[13]",1,1,"eta[13]",17162
"eta[15]",1,1,"eta[15]",16246
"eta[19]",1,1,"eta[19]",12455
"eta[20]",1,1,"eta[20]",17797
"eta[21]",1,1,"eta[21]",15090
"eta[22]",1,1,"eta[22]",17722
"eta[23]",1,1,"eta[23]",16015
"eta[24]",1,1,"eta[24]",19493
"eta[25]",1,1,"eta[25]",13397
"eta[26]",1,1,"eta[26]",18801
"eta[27]",1,1,"eta[27]",14672
"eta[31]",1,1,"eta[31]",12295
"eta[32]",1,1,"eta[32]",9146
"mu.det",1,1,"mu.det",6427
"p.ftd",1,1,"p.ftd",19044
"sigma.det",1,1,"sigma.det",6932
