Information and diagnostics 
=========================== 
Total iter:                       130000 
Burn-in:                          50009 
Thin:                             10 
Num chains:                       3 
Max Rhat:                         1.14 
Min n.eff:                        2172 


Model summary 
============= 
                mean     sd    2.5%     50%   97.5% Rhat n.eff
psi[5]         0.137  0.080   0.032   0.121   0.334 1.00 11868
psi[6]         0.621  0.122   0.376   0.626   0.845 1.00 20048
psi[7]         0.819  0.101   0.579   0.838   0.962 1.00 11165
psi[8]         0.166  0.087   0.044   0.150   0.376 1.00 12824
psi[9]         0.700  0.119   0.445   0.710   0.899 1.00 16311
psi[10]        0.247  0.104   0.085   0.234   0.485 1.00 15758
psi[11]        0.297  0.110   0.117   0.285   0.542 1.00 19758
psi[12]        0.717  0.117   0.464   0.728   0.911 1.00 12895
psi[13]        0.912  0.088   0.663   0.941   0.995 1.00  8769
psi[14]        0.468  0.123   0.245   0.463   0.718 1.00 22903
psi[15]        0.819  0.139   0.462   0.857   0.983 1.00  8394
psi[16]        0.149  0.084   0.036   0.133   0.351 1.00 12590
psi[17]        0.605  0.123   0.362   0.608   0.832 1.00 20007
psi[18]        0.701  0.121   0.442   0.712   0.904 1.00 11614
psi[19]        0.180  0.091   0.050   0.164   0.396 1.00 13840
psi[20]        0.585  0.125   0.341   0.587   0.819 1.00 17562
psi[21]        0.712  0.121   0.451   0.724   0.911 1.00 10440
psi[22]        0.223  0.100   0.072   0.209   0.455 1.00 15472
psi[23]        0.584  0.126   0.338   0.586   0.820 1.00 16825
psi[24]        0.253  0.106   0.088   0.239   0.494 1.00 16387
psi[25]        0.325  0.115   0.135   0.314   0.576 1.00 20240
psi[26]        0.129  0.076   0.029   0.113   0.319 1.00 10597
psi[27]        0.508  0.126   0.272   0.505   0.757 1.00 21562
psi[28]        0.143  0.080   0.035   0.128   0.342 1.00 10946
psi[29]        0.417  0.121   0.204   0.409   0.672 1.00 22220
psi[30]        0.149  0.082   0.037   0.134   0.350 1.00 11177
psi[31]        0.382  0.119   0.178   0.373   0.636 1.00 21883
psi[32]        0.758  0.110   0.515   0.773   0.931 1.00 13750
psi[33]        0.145  0.081   0.036   0.130   0.344 1.00 11140
psi[34]        0.375  0.118   0.172   0.366   0.629 1.00 21680
psi[35]        0.034  0.030   0.004   0.026   0.115 1.00  7676
psi[36]        0.076  0.051   0.013   0.064   0.205 1.00  8908
psi[37]        0.077  0.070   0.007   0.055   0.271 1.00  9329
psi[38]        0.400  0.153   0.130   0.392   0.713 1.00 15059
psi[39]        0.035  0.030   0.004   0.026   0.117 1.00  8303
psi[40]        0.169  0.091   0.040   0.153   0.389 1.00 13438
psi[41]        0.574  0.162   0.245   0.584   0.859 1.00 15385
psi[42]        0.072  0.050   0.012   0.060   0.198 1.00  9226
psi[43]        0.516  0.161   0.204   0.520   0.816 1.00 16116
psi[44]        0.034  0.029   0.004   0.026   0.111 1.00  7566
