"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",0.666198458183147,0.171213263093234,0.995118499581187,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.359560525576299,0.0523566687686143,0.94272066315537,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",0.0992253248307181,0.00094074758741055,0.864636549630694,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",0.339312576077913,0.0797283389574382,0.971570861315099,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",0.753359285974047,0.208874456359764,0.996586824541242,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",0.0771086832609403,0.000697186074054756,0.831166408381328,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",0.220012447767304,0.04106185110898,0.579244126371325,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",0.0531544723504527,0.00740181451360497,0.227468352728067,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",0.231139099291242,0.029260752820878,0.939364101616175,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",0.157441478072899,0.000875774947901847,0.933851211005525,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",0.375554543264261,0.0986976972832991,0.943522006283207,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",0.257082622549058,0.00436973801813595,0.986722354170353,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",0.872213299256881,0.38081230189419,0.998434146808539,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",0.0981728912418265,0.00100145843826039,0.870692946415013,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",0.21104973291562,0.0113561434220028,0.961848556278397,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.656792824650888,0.0900066021134461,0.994513969067937,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",0.603885516402709,0.239163792562006,0.989077329678311,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",0.263424626721514,0.0935800729081642,0.536068924710972,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",0.0877549614013111,0.00083477480342828,0.834401103280589,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.669978771900158,0.117896844015716,0.996633018487342,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",0.13723062179501,0.0098043064300534,0.854523176629088,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",0.105111328600676,0.000297003482388722,0.967601563928558,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",0.420301872256474,0.0330024127052886,0.987760843618306,0.95,"median","qi","SAMOA"
"24","Rota",24,"alpha",0.17864562524424,0.00146155819045925,0.953056507189234,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"alpha",0.0585826589499115,0.000408781262789514,0.783772172227056,0.95,"median","qi","FLORIDA"
"26","STJ",26,"alpha",0.93640120205264,0.516153494335692,0.999276058994954,0.95,"median","qi","USVI"
"27","STT",27,"alpha",0.952290257820557,0.614516969827645,0.999484514377566,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"alpha",0.34520007530194,0.0781662045028291,0.78798314367778,0.95,"median","qi","USVI"
"29","STX",29,"alpha",0.504932597016958,0.118408855061617,0.976107328079255,0.95,"median","qi","USVI"
"30","SWPRICO",30,"alpha",0.863893930745232,0.335672554462598,0.998557229710451,0.95,"median","qi","PRICO"
"31","Tortugas",31,"alpha",0.745638142578355,0.219342044798118,0.993448833548803,0.95,"median","qi","FLORIDA"
"32","Tutuila",32,"alpha",0.757518799430156,0.360296301833549,0.991772873291494,0.95,"median","qi","SAMOA"
"33","EPRICO",1,"alpha",0.666198458183147,0.290719280161682,0.963331272666876,0.8,"median","qi","PRICO"
"34","French Frigate",2,"alpha",0.359560525576299,0.110658492981094,0.780366379030802,0.8,"median","qi","NWHI"
"35","Guam",3,"alpha",0.0992253248307181,0.00714054369265147,0.550537428303567,0.8,"median","qi","MARIAN"
"36","Hawaii",4,"alpha",0.339312576077913,0.132064478806441,0.802069505977819,0.8,"median","qi","MHI"
"37","Kahoolawe",5,"alpha",0.753359285974047,0.369466181811353,0.974631825625175,0.8,"median","qi","MHI"
"38","Kauai",6,"alpha",0.0771086832609403,0.00525479242998727,0.479490013373092,0.8,"median","qi","MHI"
"39","Keys_lower",7,"alpha",0.220012447767304,0.0772538814723747,0.451057009510364,0.8,"median","qi","FLORIDA"
"40","Keys_middle",8,"alpha",0.0531544723504527,0.0153909598053688,0.146770102716958,0.8,"median","qi","FLORIDA"
"41","Keys_upper",9,"alpha",0.231139099291242,0.061289423089179,0.688480880559182,0.8,"median","qi","FLORIDA"
"42","Kure",10,"alpha",0.157441478072899,0.00851273875929969,0.700114065029816,0.8,"median","qi","NWHI"
"43","Lanai",11,"alpha",0.375554543264261,0.162376047995611,0.758476890666337,0.8,"median","qi","MHI"
"44","Lisianski",12,"alpha",0.257082622549058,0.020579944868862,0.89437850077507,0.8,"median","qi","NWHI"
"45","Manua_islands",13,"alpha",0.872213299256881,0.557070152751073,0.988164312414951,0.8,"median","qi","SAMOA"
"46","Marianas_lower",14,"alpha",0.0981728912418265,0.00733275067064357,0.557933113170232,0.8,"median","qi","MARIAN"
"47","Marianas_middle",15,"alpha",0.21104973291562,0.0342683920344446,0.767983069693247,0.8,"median","qi","MARIAN"
"48","Marianas_upper",16,"alpha",0.656792824650888,0.222561262275091,0.958942941609235,0.8,"median","qi","MARIAN"
"49","Maui",17,"alpha",0.603885516402709,0.339767731390883,0.917056339596281,0.8,"median","qi","MHI"
"50","Molokai",18,"alpha",0.263424626721514,0.140699569391633,0.433446381006183,0.8,"median","qi","MHI"
"51","Niihau",19,"alpha",0.0877549614013111,0.00653428511154243,0.488039027523293,0.8,"median","qi","MHI"
"52","NPRICO",20,"alpha",0.669978771900158,0.23864350955769,0.97333182237113,0.8,"median","qi","PRICO"
"53","Oahu",21,"alpha",0.13723062179501,0.027285786127545,0.539951108879304,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"alpha",0.105111328600676,0.00298685423109164,0.761968617250894,0.8,"median","qi","NWHI"
"55","Rose",23,"alpha",0.420301872256474,0.0914718605542805,0.905910174295234,0.8,"median","qi","SAMOA"
"56","Rota",24,"alpha",0.17864562524424,0.0114510738169012,0.756934785102467,0.8,"median","qi","MARIAN"
"57","SEFCRI",25,"alpha",0.0585826589499115,0.00340853963971699,0.424040562793174,0.8,"median","qi","FLORIDA"
"58","STJ",26,"alpha",0.93640120205264,0.700066588301404,0.994827195460532,0.8,"median","qi","USVI"
"59","STT",27,"alpha",0.952290257820557,0.772275421539974,0.996295815910194,0.8,"median","qi","USVI"
"60","STT_STJ_offshore",28,"alpha",0.34520007530194,0.139447356375464,0.64447799150211,0.8,"median","qi","USVI"
"61","STX",29,"alpha",0.504932597016958,0.207566247765627,0.876310080840014,0.8,"median","qi","USVI"
"62","SWPRICO",30,"alpha",0.863893930745232,0.510517766524725,0.989680386437814,0.8,"median","qi","PRICO"
"63","Tortugas",31,"alpha",0.745638142578355,0.381446166774071,0.963013806637561,0.8,"median","qi","FLORIDA"
"64","Tutuila",32,"alpha",0.757518799430156,0.489914846845871,0.95160735262593,0.8,"median","qi","SAMOA"
