"",".value",".upper",".variable","effective_size_rjags"
"sigma.alpha",1.004,1.013,"sigma.alpha",2326
"alpha[13]",1.003,1.01,"alpha[13]",5248
"alpha[17]",1.004,1.009,"alpha[17]",4551
"alpha[4]",1.005,1.008,"alpha[4]",2172
"alpha[26]",1.002,1.008,"alpha[26]",5035
"alpha[27]",1.003,1.008,"alpha[27]",4757
"alpha[1]",1.003,1.007,"alpha[1]",3803
"alpha[20]",1.002,1.007,"alpha[20]",4327
"alpha[29]",1.004,1.007,"alpha[29]",4520
"beta[7]",1.002,1.007,"beta[7]",3721
"alpha[7]",1.001,1.005,"alpha[7]",4768
"alpha[21]",1.001,1.005,"alpha[21]",4058
"alpha[31]",1.002,1.005,"alpha[31]",3984
"d.ftd.data",1.001,1.005,"d.ftd.data",4823
"alpha[8]",1.001,1.004,"alpha[8]",4667
"alpha[11]",1.002,1.004,"alpha[11]",5720
"alpha[22]",1.002,1.004,"alpha[22]",3436
"alpha[25]",1.001,1.004,"alpha[25]",3632
"alpha[32]",1.002,1.004,"alpha[32]",6823
"d.chi2b.data",1.001,1.004,"d.chi2b.data",4080
"d.ftd.sim",1.001,1.004,"d.ftd.sim",5838
"eta[17]",1.001,1.004,"eta[17]",9786
"eta[20]",1.001,1.004,"eta[20]",12482
"alpha[5]",1.001,1.003,"alpha[5]",7560
"alpha[10]",1.001,1.003,"alpha[10]",7328
"alpha[12]",1.001,1.003,"alpha[12]",7759
"beta[5]",1.002,1.003,"beta[5]",5324
"beta[9]",1.001,1.003,"beta[9]",6766
"d.chi2b.sim",1.001,1.003,"d.chi2b.sim",5859
"eta[15]",1.001,1.003,"eta[15]",10881
"alpha[3]",1.001,1.002,"alpha[3]",5957
"alpha[6]",1.002,1.002,"alpha[6]",5129
"alpha[9]",1.002,1.002,"alpha[9]",5097
"alpha[15]",1.001,1.002,"alpha[15]",6759
"alpha[19]",1.001,1.002,"alpha[19]",6905
"alpha[24]",1.002,1.002,"alpha[24]",11881
"alpha[30]",1.001,1.002,"alpha[30]",3522
"beta[2]",1.001,1.002,"beta[2]",8707
"beta[8]",1.001,1.002,"beta[8]",8314
"eta[3]",1.001,1.002,"eta[3]",10338
"eta[4]",1,1.002,"eta[4]",3854
"eta[11]",1.001,1.002,"eta[11]",10403
"eta[13]",1,1.002,"eta[13]",22758
"alpha[14]",1,1.001,"alpha[14]",7068
"alpha[16]",1,1.001,"alpha[16]",11316
"alpha[18]",1,1.001,"alpha[18]",8357
"beta[3]",1,1.001,"beta[3]",11635
"beta[4]",1,1.001,"beta[4]",7618
"beta[6]",1,1.001,"beta[6]",8556
"eta[1]",1,1.001,"eta[1]",10507
"eta[10]",1,1.001,"eta[10]",15979
"eta[12]",1,1.001,"eta[12]",11515
"eta[14]",1,1.001,"eta[14]",11636
"eta[18]",1,1.001,"eta[18]",23291
"eta[21]",1,1.001,"eta[21]",7621
"eta[22]",1,1.001,"eta[22]",8134
"eta[24]",1,1.001,"eta[24]",14955
"eta[29]",1,1.001,"eta[29]",11241
"eta[30]",1,1.001,"eta[30]",9357
"eta[31]",1,1.001,"eta[31]",9662
"mu.det",1,1.001,"mu.det",8166
"p.chi2b",1,1.001,"p.chi2b",23216
"alpha[2]",1,1,"alpha[2]",8792
"alpha[23]",1,1,"alpha[23]",14511
"alpha[28]",1,1,"alpha[28]",9589
"beta[1]",1,1,"beta[1]",6799
"eta[2]",1,1,"eta[2]",17365
"eta[5]",1,1,"eta[5]",21657
"eta[6]",1,1,"eta[6]",9598
"eta[7]",1,1,"eta[7]",24088
"eta[8]",1,1,"eta[8]",22927
"eta[9]",1,1,"eta[9]",10372
"eta[16]",1,1,"eta[16]",20070
"eta[19]",1,1,"eta[19]",13412
"eta[23]",1,1,"eta[23]",20523
"eta[25]",1,1,"eta[25]",7785
"eta[26]",1,1,"eta[26]",24321
"eta[27]",1,1,"eta[27]",24000
"eta[28]",1,1,"eta[28]",23047
"eta[32]",1,1,"eta[32]",17632
"mu.alpha",1,1,"mu.alpha",6952
"p.ftd",1,1,"p.ftd",22524
"sigma.det",1,1,"sigma.det",10097
