"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"49","Maui",17,"alpha",0.250704819128769,0.135092630643714,0.41370750715527,0.8,"median","qi","MHI"
"50","Molokai",18,"alpha",0.227837998885801,0.114927058428294,0.393407725307807,0.8,"median","qi","MHI"
"51","Niihau",19,"alpha",0.174096699661971,0.0148601391734636,0.603649939379757,0.8,"median","qi","MHI"
"52","NPRICO",20,"alpha",0.212720011248517,0.0226269006594741,0.624518732838225,0.8,"median","qi","PRICO"
"53","Oahu",21,"alpha",0.53362467993049,0.251828180087138,0.887911324245858,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"alpha",0.197653585606724,0.0170240996458331,0.6384986706852,0.8,"median","qi","NWHI"
"55","Rose",23,"alpha",0.349723503133139,0.0923832244588153,0.774073466672086,0.8,"median","qi","SAMOA"
"56","Rota",24,"alpha",0.241410110571405,0.0238396780806819,0.690795795372638,0.8,"median","qi","MARIAN"
"57","SEFCRI",25,"alpha",0.181174673603993,0.0149433215721726,0.575445634389379,0.8,"median","qi","FLORIDA"
"58","STJ",26,"alpha",0.593426017989063,0.272380337183249,0.904826476474253,0.8,"median","qi","USVI"
"59","STT",27,"alpha",0.147043787753685,0.0149170651320614,0.536056102667417,0.8,"median","qi","USVI"
"60","STT_STJ_offshore",28,"alpha",0.179543548805946,0.0183528157121241,0.606302384063275,0.8,"median","qi","USVI"
"61","STX",29,"alpha",0.354732738488085,0.0912412509246568,0.792262189021538,0.8,"median","qi","USVI"
"62","SWPRICO",30,"alpha",0.440630264527877,0.133420874244076,0.876021570543652,0.8,"median","qi","PRICO"
"63","Tortugas",31,"alpha",0.512278718612725,0.191670509772241,0.904901139908133,0.8,"median","qi","FLORIDA"
"64","Tutuila",32,"alpha",0.647099559862985,0.377798367601868,0.903085155267745,0.8,"median","qi","SAMOA"
