"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"eta",0.0730609233256851,0.0381130046787669,0.127276911755251,0.95,"median","qi","PRICO"
"2","French Frigate",2,"eta",0.057719511188573,0.0185885887682839,0.142779832651502,0.95,"median","qi","NWHI"
"3","Guam",3,"eta",0.0957948585128737,0.0436142161771458,0.206849923288581,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"eta",0.0886858278717744,0.0439205147978918,0.183333064745713,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"eta",0.102774730415756,0.0393441992008355,0.24795688490985,0.95,"median","qi","MHI"
"6","Kauai",6,"eta",0.107652587985103,0.0533322636488161,0.207993072040467,0.95,"median","qi","MHI"
"7","Keys_lower",7,"eta",0.130767338729436,0.0658053291844974,0.246332509821834,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"eta",0.203516949932729,0.0832175905901464,0.491525216857412,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"eta",0.0991478323298998,0.0480601320769444,0.198299938787117,0.95,"median","qi","FLORIDA"
"10","Kure",10,"eta",0.0905391592193907,0.0355167393491041,0.217913588229345,0.95,"median","qi","NWHI"
"11","Lanai",11,"eta",0.0743201590878505,0.0305879399707785,0.166547828526701,0.95,"median","qi","MHI"
"12","Lisianski",12,"eta",0.0734103799128833,0.0259030721813777,0.179541940402804,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"eta",0.0604912575601213,0.023561765636583,0.133744771702712,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"eta",0.0773731137327221,0.0339482244990965,0.156766606030382,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"eta",0.0580386782536364,0.0210219779659909,0.14431054185732,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"eta",0.0602526049158051,0.0240356798539097,0.12465413082301,0.95,"median","qi","MARIAN"
"17","Maui",17,"eta",0.0639900955280784,0.030878007944044,0.120856379694692,0.95,"median","qi","MHI"
"18","Molokai",18,"eta",0.0833841175799248,0.040260833759363,0.161483484307439,0.95,"median","qi","MHI"
"19","Niihau",19,"eta",0.0966108232588751,0.0483728565835352,0.182732953911563,0.95,"median","qi","MHI"
"20","NPRICO",20,"eta",0.0892113807519122,0.0398344266953246,0.186514399192741,0.95,"median","qi","PRICO"
"21","Oahu",21,"eta",0.101439020121343,0.0535531230731243,0.184096940190441,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"eta",0.0938362027273875,0.0417786077162713,0.19668395725492,0.95,"median","qi","NWHI"
"23","Rose",23,"eta",0.0784157773018987,0.0297340137893633,0.184564451679687,0.95,"median","qi","SAMOA"
"24","Rota",24,"eta",0.0724370811147111,0.0264267265490815,0.166747824244939,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"eta",0.0915664957648177,0.0413343683080636,0.199273176605013,0.95,"median","qi","FLORIDA"
"26","STJ",26,"eta",0.0586575184559597,0.0353239851302591,0.0904155532455781,0.95,"median","qi","USVI"
"27","STT",27,"eta",0.0706104596653448,0.041147649535723,0.112041216603316,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"eta",0.149180858997752,0.0671620335406791,0.317703826870633,0.95,"median","qi","USVI"
"29","STX",29,"eta",0.0711828832768549,0.0356462300470607,0.133021268914325,0.95,"median","qi","USVI"
"30","SWPRICO",30,"eta",0.0546779455452913,0.0262082082392548,0.105370514357995,0.95,"median","qi","PRICO"
"31","Tortugas",31,"eta",0.0780224752091161,0.0444477185464797,0.13048071718476,0.95,"median","qi","FLORIDA"
"32","Tutuila",32,"eta",0.0788230011849104,0.0391383946895431,0.154725458492236,0.95,"median","qi","SAMOA"
"33","EPRICO",1,"eta",0.0730609233256851,0.0480062912253236,0.10555034275274,0.8,"median","qi","PRICO"
"34","French Frigate",2,"eta",0.057719511188573,0.0287833459123213,0.105200869198945,0.8,"median","qi","NWHI"
"35","Guam",3,"eta",0.0957948585128737,0.0578175210734244,0.157380485652941,0.8,"median","qi","MARIAN"
"36","Hawaii",4,"eta",0.0886858278717744,0.0563353639404258,0.140928533053567,0.8,"median","qi","MHI"
"37","Kahoolawe",5,"eta",0.102774730415756,0.0562787558326179,0.183069877259321,0.8,"median","qi","MHI"
"38","Kauai",6,"eta",0.107652587985103,0.068562627338016,0.16538533760218,0.8,"median","qi","MHI"
"39","Keys_lower",7,"eta",0.130767338729436,0.0839464600013416,0.199927980001176,0.8,"median","qi","FLORIDA"
"40","Keys_middle",8,"eta",0.203516949932729,0.11087355541604,0.38176687253075,0.8,"median","qi","FLORIDA"
"41","Keys_upper",9,"eta",0.0991478323298998,0.0624397862243453,0.156535899779154,0.8,"median","qi","FLORIDA"
"42","Kure",10,"eta",0.0905391592193907,0.0494205474861729,0.160774810053252,0.8,"median","qi","NWHI"
"43","Lanai",11,"eta",0.0743201590878505,0.0425655642144946,0.126117668458977,0.8,"median","qi","MHI"
"44","Lisianski",12,"eta",0.0734103799128833,0.0382944740738159,0.130743808928126,0.8,"median","qi","NWHI"
"45","Manua_islands",13,"eta",0.0604912575601213,0.0334463810342396,0.101612173774332,0.8,"median","qi","SAMOA"
"46","Marianas_lower",14,"eta",0.0773731137327221,0.0462411742461645,0.124033316313896,0.8,"median","qi","MARIAN"
"47","Marianas_middle",15,"eta",0.0580386782536364,0.0306090879948254,0.104475077326027,0.8,"median","qi","MARIAN"
"48","Marianas_upper",16,"eta",0.0602526049158051,0.0344366273018747,0.0983520395181181,0.8,"median","qi","MARIAN"
"49","Maui",17,"eta",0.0639900955280784,0.0405217102549294,0.0981792021563972,0.8,"median","qi","MHI"
"50","Molokai",18,"eta",0.0833841175799248,0.0521711586895935,0.129081991878635,0.8,"median","qi","MHI"
"51","Niihau",19,"eta",0.0966108232588751,0.0618472863180225,0.146779329878395,0.8,"median","qi","MHI"
"52","NPRICO",20,"eta",0.0892113807519122,0.0533927154408237,0.144993514267003,0.8,"median","qi","PRICO"
"53","Oahu",21,"eta",0.101439020121343,0.0674901587750685,0.151078310606384,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"eta",0.0938362027273875,0.0562269923065299,0.151698641784111,0.8,"median","qi","NWHI"
"55","Rose",23,"eta",0.0784157773018987,0.0430001753486055,0.139645759637519,0.8,"median","qi","SAMOA"
"56","Rota",24,"eta",0.0724370811147111,0.0387008474011939,0.126034711728458,0.8,"median","qi","MARIAN"
"57","SEFCRI",25,"eta",0.0915664957648177,0.0541079520814395,0.152617894581232,0.8,"median","qi","FLORIDA"
"58","STJ",26,"eta",0.0586575184559597,0.0422931460019357,0.078312910241199,0.8,"median","qi","USVI"
"59","STT",27,"eta",0.0706104596653448,0.0500325313080602,0.0965963916238254,0.8,"median","qi","USVI"
"60","STT_STJ_offshore",28,"eta",0.149180858997752,0.0887357019833569,0.248257580698746,0.8,"median","qi","USVI"
"61","STX",29,"eta",0.0711828832768549,0.0458066301489317,0.108157871364357,0.8,"median","qi","USVI"
"62","SWPRICO",30,"eta",0.0546779455452913,0.0341784634868707,0.0848675062383918,0.8,"median","qi","PRICO"
"63","Tortugas",31,"eta",0.0780224752091161,0.0544020047984747,0.109808048785779,0.8,"median","qi","FLORIDA"
"64","Tutuila",32,"eta",0.0788230011849104,0.0501115383510701,0.122790141291147,0.8,"median","qi","SAMOA"
