"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",0.691040981210533,-1.57705293656436,5.31740918964428,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",-0.577272096059905,-2.89589888124985,2.80083007213064,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",-2.20586187093744,-6.96789450266422,1.85434585894675,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",-0.666359108501675,-2.44604381724451,3.53149957705532,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",1.11660957482636,-1.33172328606279,5.67669318779525,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",-2.48229557997167,-7.26776078940052,1.59391646072389,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",-1.26559383536806,-3.15074708378333,0.319671230327678,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",-2.8799337152285,-4.89860076041694,-1.22266185544822,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",-1.20189037907137,-3.50181076780184,2.74031605844332,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",-1.67738930061598,-7.03952525015961,2.64741053911527,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",-0.508460270970241,-2.21177910473858,2.81576861808854,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",-1.06118731551051,-5.42867290852743,4.308306840625,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",1.92067152975095,-0.486101846888172,6.45775735285773,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",-2.2176927056069,-6.90529594297709,1.90709954837292,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",-1.31860947928822,-4.46657529404287,3.22729341206014,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.649034358779539,-2.313554319959,5.20004911365485,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",0.421681368123479,-1.15726945963735,4.5059320429556,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",-1.02824429002314,-2.27068522981077,0.144526747125689,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",-2.34136023572609,-7.0875134425592,1.61714564632335,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.70808904818509,-2.01249896719563,5.69036596701377,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",-1.83848454138536,-4.61508087307429,1.77052684084114,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",-2.14167926018673,-8.1214696464191,3.39671024279779,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",-0.321534302068711,-3.37761532933314,4.39080025568658,0.95,"median","qi","SAMOA"
"24","Rota",24,"alpha",-1.52555055796013,-6.52678953132459,3.01072959813508,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"alpha",-2.77694781885539,-7.80192148995221,1.28778577144422,0.95,"median","qi","FLORIDA"
"26","STJ",26,"alpha",2.6894494493429,0.0646364715282307,7.2300764504645,0.95,"median","qi","USVI"
"27","STT",27,"alpha",2.99373426538651,0.46633937256294,7.569885526892,0.95,"median","qi","USVI"
