"",".value",".upper",".variable","effective_size_rjags"
"alpha[4]",1.004,1.009,"alpha[4]",1977
"alpha[11]",1.004,1.008,"alpha[11]",4104
"sigma.alpha",1.003,1.008,"sigma.alpha",1376
"alpha[29]",1.002,1.006,"alpha[29]",4860
"alpha[21]",1.003,1.005,"alpha[21]",3446
"alpha[30]",1.002,1.005,"alpha[30]",2453
"alpha[1]",1.001,1.004,"alpha[1]",2703
"alpha[13]",1.001,1.004,"alpha[13]",2690
"d.ftd.data",1.001,1.004,"d.ftd.data",4287
"d.ftd.sim",1.001,1.004,"d.ftd.sim",5494
"alpha[2]",1.001,1.003,"alpha[2]",5259
"alpha[8]",1.001,1.003,"alpha[8]",3225
"alpha[9]",1.001,1.003,"alpha[9]",2657
"alpha[19]",1.001,1.003,"alpha[19]",4466
"alpha[31]",1.002,1.003,"alpha[31]",2694
"alpha[32]",1.001,1.003,"alpha[32]",3692
"beta[2]",1.001,1.003,"beta[2]",6439
"eta[4]",1.001,1.003,"eta[4]",4789
"alpha[5]",1.001,1.002,"alpha[5]",7925
"alpha[14]",1.001,1.002,"alpha[14]",5264
"alpha[16]",1.001,1.002,"alpha[16]",5533
"alpha[22]",1.001,1.002,"alpha[22]",4216
"alpha[26]",1.001,1.002,"alpha[26]",6271
"alpha[28]",1.001,1.002,"alpha[28]",4412
"beta[7]",1.001,1.002,"beta[7]",4905
"beta[8]",1.001,1.002,"beta[8]",12040
"beta[9]",1.001,1.002,"beta[9]",8597
"d.chi2b.data",1,1.002,"d.chi2b.data",4038
"d.chi2b.sim",1.001,1.002,"d.chi2b.sim",4939
"eta[9]",1.001,1.002,"eta[9]",5455
"eta[20]",1,1.002,"eta[20]",7932
"alpha[6]",1.001,1.001,"alpha[6]",3565
"alpha[7]",1,1.001,"alpha[7]",5009
"alpha[10]",1,1.001,"alpha[10]",6443
"alpha[12]",1.001,1.001,"alpha[12]",8783
"alpha[15]",1.001,1.001,"alpha[15]",4790
"alpha[23]",1.001,1.001,"alpha[23]",12292
"alpha[24]",1,1.001,"alpha[24]",5988
"alpha[25]",1.001,1.001,"alpha[25]",3313
"alpha[27]",1,1.001,"alpha[27]",3685
"beta[4]",1,1.001,"beta[4]",4358
"beta[5]",1,1.001,"beta[5]",3386
"beta[6]",1,1.001,"beta[6]",5719
"eta[1]",1,1.001,"eta[1]",4817
"eta[2]",1,1.001,"eta[2]",15959
"eta[3]",1,1.001,"eta[3]",4794
"eta[12]",1,1.001,"eta[12]",13129
"eta[14]",1,1.001,"eta[14]",13571
"eta[15]",1,1.001,"eta[15]",6343
"eta[16]",1,1.001,"eta[16]",24000
"eta[19]",1,1.001,"eta[19]",7173
"eta[26]",1,1.001,"eta[26]",13396
"eta[31]",1,1.001,"eta[31]",5793
"mu.alpha",1,1.001,"mu.alpha",2734
"sigma.det",1,1.001,"sigma.det",5394
"alpha[3]",1,1,"alpha[3]",4668
"alpha[17]",1,1,"alpha[17]",6394
"alpha[18]",1,1,"alpha[18]",4820
"alpha[20]",1,1,"alpha[20]",5134
"beta[1]",1,1,"beta[1]",7292
"beta[3]",1,1,"beta[3]",7911
"eta[5]",1,1,"eta[5]",22064
"eta[6]",1,1,"eta[6]",6475
"eta[7]",1,1,"eta[7]",10270
"eta[8]",1,1,"eta[8]",7448
"eta[10]",1,1,"eta[10]",12914
"eta[11]",1,1,"eta[11]",13543
"eta[13]",1,1,"eta[13]",23431
"eta[17]",1,1,"eta[17]",22851
"eta[18]",1,1,"eta[18]",23355
"eta[21]",1,1,"eta[21]",8989
"eta[22]",1,1,"eta[22]",8058
"eta[23]",1,1,"eta[23]",18226
"eta[24]",1,1,"eta[24]",7481
"eta[25]",1,1,"eta[25]",7242
"eta[27]",1,1,"eta[27]",5970
"eta[28]",1,1,"eta[28]",6641
"eta[29]",1,1,"eta[29]",7075
"eta[30]",1,1,"eta[30]",6521
"eta[32]",1,1,"eta[32]",20958
"mu.det",1,1,"mu.det",4272
"p.chi2b",1,1,"p.chi2b",21462
"p.ftd",1,1,"p.ftd",22858
