Information and diagnostics 
=========================== 
Total iter:                       130000 
Burn-in:                          50009 
Thin:                             10 
Num chains:                       3 
Max Rhat:                         1.29 
Min n.eff:                        0 


Model summary 
============= 
                mean     sd    2.5%     50%   97.5% Rhat n.eff
alpha[1]      -1.865  1.971  -6.146  -1.706   1.650 1.00  2703
alpha[2]       0.334  1.066  -1.396   0.200   2.825 1.00  5259
alpha[3]      -1.147  1.552  -3.879  -1.209   2.183 1.00  4668
alpha[4]      -0.156  1.380  -2.012  -0.431   3.437 1.00  1977
alpha[5]       0.134  1.085  -1.646   0.018   2.574 1.00  7925
alpha[6]      -1.691  1.951  -5.886  -1.553   1.962 1.00  3565
alpha[7]      -0.931  1.268  -3.334  -0.951   1.743 1.00  5009
alpha[8]      -1.833  1.471  -4.865  -1.762   0.895 1.00  3225
alpha[9]      -1.987  2.028  -6.446  -1.802   1.522 1.00  2657
alpha[10]     -1.425  1.893  -5.589  -1.251   2.036 1.00  6443
alpha[11]      0.756  1.332  -1.098   0.506   4.068 1.00  4104
alpha[12]     -0.274  1.269  -2.410  -0.388   2.729 1.00  8783
alpha[13]      1.831  1.575  -0.519   1.605   5.529 1.00  2690
alpha[14]     -0.126  1.526  -2.655  -0.300   3.405 1.00  5264
alpha[15]     -1.166  1.804  -4.650  -1.117   2.543 1.00  4790
alpha[16]      0.645  1.409  -1.486   0.434   4.055 1.00  5533
alpha[17]     -1.101  0.591  -2.278  -1.095   0.045 1.00  6394
alpha[18]     -1.232  0.635  -2.526  -1.221  -0.022 1.00  4820
alpha[19]     -1.740  1.957  -6.037  -1.557   1.785 1.00  4466
alpha[20]     -1.492  1.868  -5.632  -1.309   1.863 1.00  5134
alpha[21]      0.355  1.351  -1.672   0.135   3.632 1.00  3446
alpha[22]     -1.578  1.962  -5.841  -1.401   2.045 1.00  4216
alpha[23]     -0.543  1.505  -3.289  -0.620   2.848 1.00 12292
alpha[24]     -1.311  1.918  -5.505  -1.145   2.221 1.00  5988
alpha[25]     -1.744  1.918  -6.041  -1.508   1.556 1.00  3313
alpha[26]      0.548  1.399  -1.704   0.378   3.746 1.00  6271
alpha[27]     -1.902  1.863  -6.038  -1.758   1.363 1.00  3685
alpha[28]     -1.661  1.909  -5.810  -1.519   1.825 1.00  4412
alpha[29]     -0.503  1.561  -3.306  -0.598   3.002 1.00  4860
alpha[30]     -0.057  1.622  -2.787  -0.239   3.765 1.00  2453
alpha[31]      0.281  1.622  -2.334   0.049   4.180 1.00  2694
alpha[32]      0.778  1.178  -0.962   0.606   3.580 1.00  3692
beta[1]       -1.039  0.595  -2.229  -1.037   0.106 1.00  7292
beta[2]        0.786  0.646  -0.459   0.783   2.066 1.00  6439
beta[3]       -0.146  0.646  -1.393  -0.152   1.173 1.00  7911
beta[4]       -0.688  0.685  -1.982  -0.705   0.722 1.00  4358
beta[5]       -0.366  0.631  -1.750  -0.321   0.763 1.00  3386
beta[6]       -0.159  0.656  -1.430  -0.170   1.184 1.00  5719
beta[7]       -0.908  0.782  -2.389  -0.927   0.679 1.00  4905
beta[8]       -0.732  0.413  -1.581  -0.723   0.044 1.00 12040
beta[9]       -0.127  0.479  -1.087  -0.125   0.799 1.00  8597
d.chi2b.data 340.709 67.104 237.420 331.457 497.356 1.00  4038
d.chi2b.sim  339.216 89.281 213.021 324.509 555.087 1.00  4939
d.ftd.data    78.425  9.751  60.418  78.109  98.197 1.00  4287
d.ftd.sim     73.271  8.633  57.072  73.001  90.689 1.00  5494
eta[1]        -3.627  1.821  -7.224  -3.651   0.011 1.00  4817
eta[2]         0.047  0.588  -1.051   0.033   1.251 1.00 15959
eta[3]        -1.859  1.024  -3.551  -1.998   0.377 1.00  4794
eta[4]        -1.195  0.385  -1.932  -1.187  -0.471 1.00  4789
eta[5]         0.041  0.837  -1.551   0.026   1.732 1.00 22064
