"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"1",1,"psi",0.151974951051076,0.0225738921879796,0.567816877437389,0.95,"median","qi","-81.312_24.562"
"2",2,"psi",0.22021263949703,0.0412012962742312,0.652627059691993,0.95,"median","qi","-81.354_24.562"
"3",3,"psi",0.443464224241036,0.133368715890358,0.832483136269899,0.95,"median","qi","-81.396_24.562"
"4",4,"psi",0.782089910011999,0.308039411345416,0.97765306893367,0.95,"median","qi","-81.396_24.604"
"5",5,"psi",0.200185220021775,0.0385670898059145,0.578644972973373,0.95,"median","qi","-81.438_24.521"
"6",6,"psi",0.680181929152224,0.346581067409697,0.915409990172325,0.95,"median","qi","-81.438_24.562"
"7",7,"psi",0.895046152344615,0.575135807658177,0.988777008518283,0.95,"median","qi","-81.438_24.604"
"8",8,"psi",0.221018940081329,0.0462515065002965,0.613722060759655,0.95,"median","qi","-81.479_24.521"
"9",9,"psi",0.856848619786768,0.54848330092029,0.975989279789104,0.95,"median","qi","-81.479_24.562"
"10",10,"psi",0.268415062627183,0.0628549526739115,0.662273053645379,0.95,"median","qi","-81.521_24.521"
"11",11,"psi",0.331087719339673,0.0980343107121769,0.70334993001332,0.95,"median","qi","-81.562_24.521"
"12",12,"psi",0.881976768116487,0.621976228334918,0.981869093144421,0.95,"median","qi","-81.562_24.562"
"13",13,"psi",0.985866351994039,0.80802276313515,0.999603931153567,0.95,"median","qi","-81.562_24.604"
"14",14,"psi",0.576580668213031,0.254899969077365,0.870007716595898,0.95,"median","qi","-81.604_24.521"
"15",15,"psi",0.971591721466521,0.711653755768228,0.999027525903807,0.95,"median","qi","-81.604_24.562"
"16",16,"psi",0.263804172469442,0.0457969234466805,0.684281970786687,0.95,"median","qi","-81.646_24.479"
"17",17,"psi",0.727827418106344,0.407286599813372,0.931316684660938,0.95,"median","qi","-81.646_24.521"
"18",18,"psi",0.780374580968424,0.338735559783906,0.974391079815211,0.95,"median","qi","-81.646_24.562"
"19",19,"psi",0.250404747709715,0.0503265173047159,0.662825234086059,0.95,"median","qi","-81.688_24.479"
"20",20,"psi",0.70132439781973,0.336128672917596,0.939422329490273,0.95,"median","qi","-81.688_24.521"
"21",21,"psi",0.778004213740941,0.310994926501665,0.975787658994275,0.95,"median","qi","-81.688_24.562"
"22",22,"psi",0.276053507732568,0.0619052852748968,0.69309939088497,0.95,"median","qi","-81.729_24.479"
