"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",0.658125144891777,0.191996669538367,0.99057603628914,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.631511912116906,0.250186404257082,0.962714104814297,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",0.449872238729786,0.0718010502024722,0.987950813409729,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",0.360821810424474,0.0803232744530518,0.905199347487306,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",0.856005084131547,0.294635818112133,0.997733777957072,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",0.071126644789366,0.000653922185486942,0.930470010464907,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",0.112432218161527,0.0231042988877524,0.369447780941115,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",0.0323694823120791,0.00596217190617256,0.130967648566951,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",0.230073088772952,0.0341381413910804,0.919439611148931,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",0.229500534055429,0.00283901010123354,0.927816800661192,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",0.409694718701555,0.104080050991599,0.974024860544862,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",0.367637577096496,0.0334452141205399,0.985699483811193,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",0.877758086959494,0.389136772036756,0.997837950149947,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",0.573260683250787,0.0970480697421681,0.99164716081293,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",0.186059385920062,0.00792149237268769,0.968392175823268,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.848278799484443,0.289799357736554,0.997044367613435,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",0.578773888797965,0.242205097031294,0.967764751985706,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",0.282302571768035,0.101906724930728,0.559528467719292,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",0.0682798348406002,0.000780115550431888,0.924996716179191,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.658201510289032,0.150545858058756,0.989729249735643,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",0.103145255528886,0.00619764677753355,0.852012742530536,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",0.124516559412658,0.00129700660098466,0.934778670561619,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",0.120367478793824,0.00127593891308636,0.940790783660658,0.95,"median","qi","SAMOA"
"24","Rota",24,"alpha",0.216528470203312,0.00276049788727491,0.943480965618974,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"alpha",0.125705267400838,0.00193469325484082,0.782996336676546,0.95,"median","qi","FLORIDA"
"26","STJ",26,"alpha",0.853223389878837,0.36517001171453,0.997018158011598,0.95,"median","qi","USVI"
"27","STT",27,"alpha",0.893175256501699,0.484879161942443,0.997852378317813,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"alpha",0.395578378016762,0.103252588841203,0.791387540449565,0.95,"median","qi","USVI"
"29","STX",29,"alpha",0.637058164640308,0.1561774438071,0.992462360948208,0.95,"median","qi","USVI"
"30","SWPRICO",30,"alpha",0.86462387919992,0.359367892712577,0.997726344080296,0.95,"median","qi","PRICO"
"31","Tortugas",31,"alpha",0.748242536096511,0.281886030987881,0.991833386903061,0.95,"median","qi","FLORIDA"
"32","Tutuila",32,"alpha",0.4228980889013,0.132681135555406,0.923432348707945,0.95,"median","qi","SAMOA"
"33","EPRICO",1,"alpha",0.658125144891777,0.31832219750138,0.943277839905178,0.8,"median","qi","PRICO"
"34","French Frigate",2,"alpha",0.631511912116906,0.360229665209844,0.878630787170079,0.8,"median","qi","NWHI"
"35","Guam",3,"alpha",0.449872238729786,0.13770672033291,0.919165606751962,0.8,"median","qi","MARIAN"
"36","Hawaii",4,"alpha",0.360821810424474,0.140557028719307,0.746119014691281,0.8,"median","qi","MHI"
"37","Kahoolawe",5,"alpha",0.856005084131547,0.493978569209405,0.986654943060503,0.8,"median","qi","MHI"
"38","Kauai",6,"alpha",0.071126644789366,0.00407011072301283,0.661724216976009,0.8,"median","qi","MHI"
"39","Keys_lower",7,"alpha",0.112432218161527,0.0419419281166396,0.255309839904494,0.8,"median","qi","FLORIDA"
"40","Keys_middle",8,"alpha",0.0323694823120791,0.0113542329676831,0.0837008735788301,0.8,"median","qi","FLORIDA"
"41","Keys_upper",9,"alpha",0.230073088772952,0.0678944491391505,0.666985471657146,0.8,"median","qi","FLORIDA"
"42","Kure",10,"alpha",0.229500534055429,0.0191887048881929,0.742350708130782,0.8,"median","qi","NWHI"
"43","Lanai",11,"alpha",0.409694718701555,0.17068381774374,0.837100795394055,0.8,"median","qi","MHI"
"44","Lisianski",12,"alpha",0.367637577096496,0.079168411201685,0.903140148090104,0.8,"median","qi","NWHI"
"45","Manua_islands",13,"alpha",0.877758086959494,0.574299533460488,0.987846420833876,0.8,"median","qi","SAMOA"
"46","Marianas_lower",14,"alpha",0.573260683250787,0.195186730170404,0.94183311707669,0.8,"median","qi","MARIAN"
"47","Marianas_middle",15,"alpha",0.186059385920062,0.0241550367666967,0.807109442245447,0.8,"median","qi","MARIAN"
"48","Marianas_upper",16,"alpha",0.848278799484443,0.489624984628303,0.983407111936397,0.8,"median","qi","MARIAN"
"49","Maui",17,"alpha",0.578773888797965,0.334519432704973,0.868344928313453,0.8,"median","qi","MHI"
"50","Molokai",18,"alpha",0.282302571768035,0.152009352258864,0.453756729222519,0.8,"median","qi","MHI"
"51","Niihau",19,"alpha",0.0682798348406002,0.00445562728492616,0.643866825423134,0.8,"median","qi","MHI"
"52","NPRICO",20,"alpha",0.658201510289032,0.280135242322076,0.943531769020216,0.8,"median","qi","PRICO"
"53","Oahu",21,"alpha",0.103145255528886,0.0173084073972457,0.519958720858314,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"alpha",0.124516559412658,0.00830026980236595,0.684100533361508,0.8,"median","qi","NWHI"
"55","Rose",23,"alpha",0.120367478793824,0.00834759460545549,0.694871929187031,0.8,"median","qi","SAMOA"
"56","Rota",24,"alpha",0.216528470203312,0.0184774621426278,0.753949088300186,0.8,"median","qi","MARIAN"
"57","SEFCRI",25,"alpha",0.125705267400838,0.0115147851564062,0.521125613121503,0.8,"median","qi","FLORIDA"
"58","STJ",26,"alpha",0.853223389878837,0.53405550877638,0.983069632270835,0.8,"median","qi","USVI"
"59","STT",27,"alpha",0.893175256501699,0.644783821690478,0.987827126124048,0.8,"median","qi","USVI"
"60","STT_STJ_offshore",28,"alpha",0.395578378016762,0.178484813173738,0.665333207579806,0.8,"median","qi","USVI"
"61","STX",29,"alpha",0.637058164640308,0.271656757242667,0.949693846479622,0.8,"median","qi","USVI"
"62","SWPRICO",30,"alpha",0.86462387919992,0.537336866239831,0.987017083743884,0.8,"median","qi","PRICO"
"63","Tortugas",31,"alpha",0.748242536096511,0.422524638054751,0.957961936508314,0.8,"median","qi","FLORIDA"
"64","Tutuila",32,"alpha",0.4228980889013,0.206480476343428,0.750817760108414,0.8,"median","qi","SAMOA"
