"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"819",819,"psi",0.750855680584474,0.520648411065934,0.922692878154931,0.5,"median","qi","-173.938_26.062"
"820",820,"psi",0.52085467060571,0.279350762484219,0.809848260948768,0.5,"median","qi","-173.938_26.104"
"821",821,"psi",0.341181317619905,0.149233934622068,0.682623638496868,0.5,"median","qi","-173.979_25.938"
"822",822,"psi",0.763383513193726,0.536484648406993,0.92564394240919,0.5,"median","qi","-173.979_26.021"
"823",823,"psi",0.694749466621329,0.4469930221489,0.899822462031519,0.5,"median","qi","-173.979_26.062"
"824",824,"psi",0.468843849899063,0.235624683358007,0.78269365349925,0.5,"median","qi","-173.979_26.104"
"825",825,"psi",0.611698529953266,0.363390951783489,0.85679613551282,0.5,"median","qi","-174.021_25.979"
"826",826,"psi",0.523959040130582,0.282162205803479,0.816126187275278,0.5,"median","qi","-174.021_26.021"
"827",827,"psi",0.405652482711286,0.189699269948404,0.732109856493706,0.5,"median","qi","-174.021_26.062"
"828",828,"psi",0.409008229494599,0.190966638092172,0.736109650890821,0.5,"median","qi","-174.062_26.062"
"829",829,"psi",0.0436131753728192,0.00916770358576479,0.182583869485105,0.5,"median","qi","-175.729_27.854"
"830",830,"psi",0.062706875627355,0.0144759232037561,0.227236951865628,0.5,"median","qi","-175.729_27.896"
"831",831,"psi",0.0622182996987956,0.0146582690670793,0.222037942784761,0.5,"median","qi","-175.729_27.938"
"832",832,"psi",0.0322796140610233,0.00729946533566325,0.127966237455573,0.5,"median","qi","-175.771_27.771"
"833",833,"psi",0.0904221494040914,0.0226004529219692,0.301077701825118,0.5,"median","qi","-175.771_27.812"
"834",834,"psi",0.0448627820869965,0.0100586188185323,0.171953606161526,0.5,"median","qi","-175.771_27.979"
"835",835,"psi",0.027776276496331,0.00564422920902555,0.123491445344509,0.5,"median","qi","-175.812_27.771"
"836",836,"psi",0.245492852406428,0.0609018786962675,0.619042722323651,0.5,"median","qi","-175.812_27.938"
"837",837,"psi",0.0505344254467469,0.0100013874359641,0.211177065689465,0.5,"median","qi","-175.812_27.979"
"838",838,"psi",0.026308371251891,0.0053125139837329,0.117161892741346,0.5,"median","qi","-175.854_27.771"
"839",839,"psi",0.159138403353445,0.0368559212798825,0.486904413152731,0.5,"median","qi","-175.854_27.812"
"840",840,"psi",0.167893682178404,0.043630861461692,0.464487030179586,0.5,"median","qi","-175.854_27.938"
"841",841,"psi",0.0346087152610553,0.00794887753686004,0.136869994957661,0.5,"median","qi","-175.896_27.771"
"842",842,"psi",0.200936609412374,0.0494538034754987,0.550745094806918,0.5,"median","qi","-175.896_27.812"
"843",843,"psi",0.164615856305402,0.043700829301214,0.455122735028061,0.5,"median","qi","-175.896_27.938"
"844",844,"psi",0.0885504031700318,0.0210528151940342,0.298457800728177,0.5,"median","qi","-175.938_27.771"
"845",845,"psi",0.453408168397454,0.15655411880739,0.786742677681882,0.5,"median","qi","-175.938_27.854"
"846",846,"psi",0.368944700214558,0.122414468249382,0.715208971018166,0.5,"median","qi","-175.938_27.896"
"847",847,"psi",0.152064746210572,0.0400735969665639,0.430187380862316,0.5,"median","qi","-175.979_27.771"
"848",848,"psi",0.381850960733012,0.116045533935947,0.739208921370757,0.5,"median","qi","-175.979_27.812"
"849",849,"psi",0.215097169603222,0.0561711510951103,0.549850589705297,0.5,"median","qi","-175.979_27.854"
"850",850,"psi",0.0944276529226237,0.0232910707888657,0.306325751547069,0.5,"median","qi","-175.979_27.896"
"851",851,"psi",0.0643544255931874,0.0153115027548317,0.228475375100546,0.5,"median","qi","-176.021_27.812"
"852",852,"psi",0.670847304640627,0.457304320007451,0.857903271967331,0.5,"median","qi","-169.438_-14.229"
"853",853,"psi",0.74459868295917,0.544687036033145,0.896780390201899,0.5,"median","qi","-169.438_-14.271"
"854",854,"psi",0.619716865354236,0.401461874715493,0.825572875451513,0.5,"median","qi","-169.479_-14.229"
"855",855,"psi",0.660578279618086,0.442529449432355,0.848755231064088,0.5,"median","qi","-169.479_-14.271"
"856",856,"psi",0.659570281702376,0.437676563856737,0.849745356932212,0.5,"median","qi","-169.521_-14.229"
"857",857,"psi",0.741867248969696,0.513396039982281,0.90690134459057,0.5,"median","qi","-169.521_-14.271"
"858",858,"psi",0.900267296972168,0.763630476655033,0.968537269060988,0.5,"median","qi","-169.604_-14.146"
