"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",0.739786287323264,0.435808698656902,0.978306512028974,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.525783136386237,0.0656080365600817,0.922615466918884,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",0.66050091400445,0.292746724636907,0.968914204120223,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",0.505781553320211,0.17303190171884,0.869468673673464,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",0.674515391941036,0.297734531578736,0.972161026252816,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",0.651215352154423,0.312896734865954,0.960114955771924,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",0.540829221414521,0.257442562103745,0.8227717481293,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",0.311828315508834,0.0599026396672981,0.716753108112421,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",0.511214683028238,0.181495415828806,0.841051186001504,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",0.584600865808969,0.17565184447737,0.93370582178168,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",0.540117361932302,0.170624105059169,0.9033082821505,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",0.571561713180034,0.145290901229396,0.939390181728549,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",0.561985799390121,0.156305674990951,0.92859485015211,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",0.656663093122971,0.284105126262964,0.974580655773348,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",0.554777661359597,0.108865869005693,0.931970787260734,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.600457865733854,0.188918818892116,0.947051623435545,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",0.791542788802828,0.449579994047343,0.990396602710984,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",0.553240745129975,0.219463325476737,0.902632217867953,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",0.767629626443587,0.421770048056062,0.99022679892507,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.62842406568308,0.222934678507034,0.965566081403724,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",0.601737899662181,0.300683038827458,0.904415867553012,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",0.686081957086804,0.338762697342183,0.971006127398846,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",0.602533200929914,0.190027717892324,0.956425884331532,0.95,"median","qi","SAMOA"
"24","Rota",24,"alpha",0.631843505824286,0.233859731334379,0.965943208802583,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"alpha",0.609758674467738,0.304011926502125,0.916319491207446,0.95,"median","qi","FLORIDA"
"26","STJ",26,"alpha",0.797973431180369,0.477009329112611,0.98724841705683,0.95,"median","qi","USVI"
"27","STT",27,"alpha",0.755526011991814,0.457994967377495,0.980314944492506,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"alpha",0.53873141788022,0.17961968160089,0.888657898727633,0.95,"median","qi","USVI"
