"","i",".variable",".value",".lower",".upper",".width",".point",".interval","cell_2.5"
"1",1,"psi",0.187135420409739,0.0346881360422925,0.835550982521446,0.95,"median","qi","-81.312_24.562"
"2",2,"psi",0.225102859798208,0.0525863615400598,0.852445450064887,0.95,"median","qi","-81.354_24.562"
"3",3,"psi",0.282380112235277,0.0750173035223382,0.873792853543882,0.95,"median","qi","-81.396_24.562"
"4",4,"psi",0.383002851057187,0.0816728262485184,0.9274933140922,0.95,"median","qi","-81.396_24.604"
"5",5,"psi",0.177102868923772,0.0314442892016985,0.826516553636684,0.95,"median","qi","-81.438_24.521"
"6",6,"psi",0.3221487422079,0.0846965160534657,0.892742978801002,0.95,"median","qi","-81.438_24.562"
"7",7,"psi",0.388545442658506,0.0764435944290825,0.932820380080387,0.95,"median","qi","-81.438_24.604"
"8",8,"psi",0.18530746204277,0.0358022145755618,0.830671584085792,0.95,"median","qi","-81.479_24.521"
"9",9,"psi",0.339446558994294,0.080736118445038,0.902401210583349,0.95,"median","qi","-81.479_24.562"
"10",10,"psi",0.212883290336776,0.0485168278957659,0.847844174297552,0.95,"median","qi","-81.521_24.521"
"11",11,"psi",0.226022604443207,0.0552165374411279,0.852209166600695,0.95,"median","qi","-81.562_24.521"
"12",12,"psi",0.393606282481218,0.100709667998085,0.916798930122704,0.95,"median","qi","-81.562_24.562"
"13",13,"psi",0.714432323614001,0.190570200473444,0.983508506847329,0.95,"median","qi","-81.562_24.604"
"14",14,"psi",0.27161027405298,0.0746805828055812,0.870444675947732,0.95,"median","qi","-81.604_24.521"
"15",15,"psi",0.648220679643131,0.185473949809377,0.972431394428924,0.95,"median","qi","-81.604_24.562"
"16",16,"psi",0.192103808738442,0.0355128671894564,0.83596555226976,0.95,"median","qi","-81.646_24.479"
"17",17,"psi",0.327519096250647,0.0882867020680204,0.892382554293952,0.95,"median","qi","-81.646_24.521"
"18",18,"psi",0.369298996214318,0.090184894690552,0.913460005390665,0.95,"median","qi","-81.646_24.562"
"19",19,"psi",0.200050622464431,0.0406557600684107,0.83992738567747,0.95,"median","qi","-81.688_24.479"
"20",20,"psi",0.321442948310438,0.087145588043937,0.892256446203123,0.95,"median","qi","-81.688_24.521"
"21",21,"psi",0.365630990255263,0.0873838358421066,0.912671041346169,0.95,"median","qi","-81.688_24.562"
"22",22,"psi",0.211238141677889,0.0472962094482959,0.847167460045442,0.95,"median","qi","-81.729_24.479"
"23",23,"psi",0.316301286210229,0.0848586022822275,0.890851833183424,0.95,"median","qi","-81.729_24.521"
"24",24,"psi",0.215673778833072,0.0500209047193393,0.848168668463805,0.95,"median","qi","-81.771_24.479"
"25",25,"psi",0.239920897948406,0.0603625161519721,0.85927534270227,0.95,"median","qi","-81.812_24.479"
"26",26,"psi",0.187496701805362,0.0332976127900709,0.825976274622458,0.95,"median","qi","-81.854_24.438"
"27",27,"psi",0.294217925350612,0.0803588544027351,0.877634741886322,0.95,"median","qi","-81.854_24.479"
"28",28,"psi",0.192450394350319,0.0358883830872938,0.828801624348808,0.95,"median","qi","-81.896_24.438"
"29",29,"psi",0.266341550208621,0.0720403671204944,0.866503119616032,0.95,"median","qi","-81.896_24.479"
"30",30,"psi",0.192107299440008,0.0365649477824818,0.82870952411335,0.95,"median","qi","-81.938_24.438"
"31",31,"psi",0.248072164893639,0.0655682606310729,0.85923442608747,0.95,"median","qi","-81.938_24.479"
"32",32,"psi",0.370668297295297,0.0848986986102584,0.917741442269058,0.95,"median","qi","-81.938_24.521"
"33",33,"psi",0.187418237843241,0.0351606835944511,0.826855649899171,0.95,"median","qi","-81.979_24.438"
"34",34,"psi",0.246119781266605,0.0645946361810222,0.858827216309826,0.95,"median","qi","-81.979_24.479"
"35",35,"psi",0.0720763343870449,0.00438283150142158,0.62247927838607,0.95,"median","qi","-80.438_24.938"
"36",36,"psi",0.088242985028313,0.00753081072346746,0.662152543544804,0.95,"median","qi","-80.479_24.938"
"37",37,"psi",0.146342727737587,0.0101177537837184,0.794538229301,0.95,"median","qi","-80.521_24.896"
"38",38,"psi",0.209486425739318,0.0218706810612702,0.869990872795017,0.95,"median","qi","-80.521_24.938"
"39",39,"psi",0.0663301245974918,0.00412487149878711,0.608419760060684,0.95,"median","qi","-80.562_24.854"
"40",40,"psi",0.100590264001838,0.00936345439729725,0.723559386920923,0.95,"median","qi","-80.562_24.896"
"41",41,"psi",0.170866947104364,0.0127963499536444,0.878930126070381,0.95,"median","qi","-80.562_24.938"
"42",42,"psi",0.0803870026891818,0.00695239391189152,0.649063104506781,0.95,"median","qi","-80.604_24.854"
"43",43,"psi",0.151766669751062,0.0122309388733148,0.855026135079292,0.95,"median","qi","-80.604_24.896"
"44",44,"psi",0.0685025677010634,0.00432324805939828,0.609618481964215,0.95,"median","qi","-80.646_24.812"
"45",45,"psi",0.13447971582856,0.0131829283408636,0.79027541704168,0.95,"median","qi","-80.646_24.854"
"46",46,"psi",0.0861384286727042,0.00771499199262157,0.665999694510749,0.95,"median","qi","-80.688_24.812"
"47",47,"psi",0.0752627291787765,0.00559115717164495,0.629326584853985,0.95,"median","qi","-80.729_24.771"
"48",48,"psi",0.0661374907552358,0.00401484306911153,0.606030515216587,0.95,"median","qi","-80.771_24.729"
"49",49,"psi",0.141553976195727,0.0136050273152511,0.80260203103517,0.95,"median","qi","-80.771_24.771"
"50",50,"psi",0.0766721279866045,0.0060084030746296,0.634926867349055,0.95,"median","qi","-80.812_24.729"
"51",51,"psi",0.110633869200704,0.010798750069254,0.734323841247084,0.95,"median","qi","-80.854_24.729"
"52",52,"psi",0.0690153635656745,0.00435001021667305,0.614668102621261,0.95,"median","qi","-80.896_24.688"
"53",53,"psi",0.0819255352468773,0.00672502739984903,0.654376770835889,0.95,"median","qi","-80.938_24.688"
"54",54,"psi",0.159129994536873,0.0131252073831993,0.852342187704436,0.95,"median","qi","-80.938_24.729"
"55",55,"psi",0.0872506973132543,0.00499240264730054,0.663444657941636,0.95,"median","qi","-80.979_24.646"
"56",56,"psi",0.125111432360727,0.01235373256773,0.772269431261351,0.95,"median","qi","-80.979_24.688"
"57",57,"psi",0.0946504993413665,0.00643941039006904,0.676021129638068,0.95,"median","qi","-81.021_24.646"
"58",58,"psi",0.110109190799542,0.00928160999043033,0.71656101906524,0.95,"median","qi","-81.062_24.646"
"59",59,"psi",0.180979382225608,0.0159699067483325,0.861188900205177,0.95,"median","qi","-81.062_24.688"
"60",60,"psi",0.0874724842465409,0.00517037744637786,0.664537782329431,0.95,"median","qi","-81.104_24.604"
"61",61,"psi",0.15940070985627,0.0156841927419577,0.817433209304561,0.95,"median","qi","-81.104_24.646"
"62",62,"psi",0.206830705344655,0.0189802232198609,0.880516201887931,0.95,"median","qi","-81.146_24.646"
"63",63,"psi",0.106948948879211,0.00843385110462959,0.706828870919948,0.95,"median","qi","-81.188_24.604"
"64",64,"psi",0.12417673470733,0.011411094990202,0.74582300767455,0.95,"median","qi","-81.229_24.604"
"65",65,"psi",0.17290796239477,0.0159067732589326,0.833544379333571,0.95,"median","qi","-81.271_24.604"
"66",66,"psi",0.0580514018329989,0.000880968569071037,0.736813906013446,0.95,"median","qi","-80.104_25.438"
"67",67,"psi",0.0673720110668592,0.000958312784038576,0.741497236579316,0.95,"median","qi","-80.104_25.479"
"68",68,"psi",0.0514497144770487,0.000822948629406686,0.727452321384516,0.95,"median","qi","-80.104_25.521"
"69",69,"psi",0.107488605742762,0.00171084951152509,0.911539860354679,0.95,"median","qi","-80.104_25.562"
"70",70,"psi",0.0561519392662663,0.000928452373945068,0.751459777761534,0.95,"median","qi","-80.104_25.604"
"71",71,"psi",0.0649753530886879,0.00110250361076973,0.790972310267866,0.95,"median","qi","-80.104_25.646"
"72",72,"psi",0.0505864770853405,0.000625868324052545,0.681197551298119,0.95,"median","qi","-80.146_25.312"
"73",73,"psi",0.0573434694956983,0.000889699472648936,0.732752555715984,0.95,"median","qi","-80.146_25.354"
"74",74,"psi",0.0847906893370563,0.00145153756044864,0.84868008400777,0.95,"median","qi","-80.146_25.396"
"75",75,"psi",0.0614091997116332,0.000954714046223159,0.747757838665302,0.95,"median","qi","-80.146_25.438"
"76",76,"psi",0.100745639833491,0.00163879834646634,0.888391768427829,0.95,"median","qi","-80.146_25.479"
"77",77,"psi",0.05433547148799,0.000695474053692337,0.700661846568437,0.95,"median","qi","-80.188_25.229"
"78",78,"psi",0.0569833527622006,0.000744624934696644,0.713688819984602,0.95,"median","qi","-80.188_25.271"
"79",79,"psi",0.0845847427630854,0.00140471582725587,0.821432543945562,0.95,"median","qi","-80.188_25.312"
"80",80,"psi",0.110365015188366,0.00174747876655094,0.908779700788877,0.95,"median","qi","-80.188_25.354"
"81",81,"psi",0.122646921571087,0.00183508499401611,0.932318043673395,0.95,"median","qi","-80.188_25.396"
"82",82,"psi",0.0563793674746367,0.000691691088085936,0.704562739338571,0.95,"median","qi","-80.229_25.146"
"83",83,"psi",0.101580236445792,0.00172053642041499,0.854408248040437,0.95,"median","qi","-80.229_25.188"
"84",84,"psi",0.083416101979219,0.00139441665547936,0.812827842828382,0.95,"median","qi","-80.229_25.229"
"85",85,"psi",0.127518653313703,0.00213265370807777,0.908595888401405,0.95,"median","qi","-80.229_25.271"
"86",86,"psi",0.13273439796927,0.00212428348131771,0.926976057385996,0.95,"median","qi","-80.229_25.312"
"87",87,"psi",0.0599900195827915,0.000763826260677672,0.719649051561269,0.95,"median","qi","-80.271_25.104"
"88",88,"psi",0.0847747288963651,0.00136023808532756,0.809033605227764,0.95,"median","qi","-80.271_25.146"
"89",89,"psi",0.107537175271774,0.00181503617334267,0.867275085194015,0.95,"median","qi","-80.271_25.188"
"90",90,"psi",0.141784448808723,0.00231460536225009,0.93068753680288,0.95,"median","qi","-80.271_25.229"
"91",91,"psi",0.142400476738744,0.00194480723071146,0.865936250601586,0.95,"median","qi","-80.312_25.062"
"92",92,"psi",0.100141208769282,0.00170675863963867,0.854302143846251,0.95,"median","qi","-80.312_25.104"
"93",93,"psi",0.13017542273766,0.00210842601610057,0.920659265387237,0.95,"median","qi","-80.312_25.146"
"94",94,"psi",0.172341355619976,0.00263444809331523,0.952817889242584,0.95,"median","qi","-80.312_25.188"
"95",95,"psi",0.0649253801519441,0.000844180165344033,0.745467149090175,0.95,"median","qi","-80.354_25.021"
"96",96,"psi",0.223241994472964,0.00439741999780616,0.946706351021466,0.95,"median","qi","-80.354_25.062"
"97",97,"psi",0.187670461265939,0.00263641592245336,0.967139550732173,0.95,"median","qi","-80.354_25.146"
"98",98,"psi",0.076499473875202,0.00108857414081594,0.784742311956499,0.95,"median","qi","-80.396_24.979"
"99",99,"psi",0.0916554113731036,0.00149327143543219,0.827761338247561,0.95,"median","qi","-80.396_25.021"
