"","group","i",".variable",".value",".lower",".upper",".width",".point",".interval","JURISDICTION"
"1","EPRICO",1,"alpha",1.04485807835741,-0.258189998250454,3.80881090590745,0.95,"median","qi","PRICO"
"2","French Frigate",2,"alpha",0.103224104246408,-2.65619781428203,2.47842560584017,0.95,"median","qi","NWHI"
"3","Guam",3,"alpha",0.665527252980694,-0.88208102714055,3.43942507659919,0.95,"median","qi","MARIAN"
"4","Hawaii",4,"alpha",0.0231272440636745,-1.56429013854854,1.89626905873278,0.95,"median","qi","MHI"
"5","Kahoolawe",5,"alpha",0.728679321705272,-0.85810923683662,3.55308448335121,0.95,"median","qi","MHI"
"6","Kauai",6,"alpha",0.624385712724174,-0.786611378528117,3.18105160063626,0.95,"median","qi","MHI"
"7","Keys_lower",7,"alpha",0.163681349453737,-1.05930358968998,1.53524036053538,0.95,"median","qi","FLORIDA"
"8","Keys_middle",8,"alpha",-0.791585582664721,-2.75326287267066,0.928412514338896,0.95,"median","qi","FLORIDA"
"9","Keys_upper",9,"alpha",0.0448662568417994,-1.50624860124899,1.66607029552703,0.95,"median","qi","FLORIDA"
"10","Kure",10,"alpha",0.34168950654194,-1.5460890799875,2.64505933898625,0.95,"median","qi","NWHI"
"11","Lanai",11,"alpha",0.160815130560423,-1.58121056328939,2.23453614197834,0.95,"median","qi","MHI"
"12","Lisianski",12,"alpha",0.288225755729839,-1.77202322765435,2.74077402426485,0.95,"median","qi","NWHI"
"13","Manua_islands",13,"alpha",0.24922525025072,-1.68597670974344,2.56530253628537,0.95,"median","qi","SAMOA"
"14","Marianas_lower",14,"alpha",0.648458890223302,-0.924188999225692,3.64649681394382,0.95,"median","qi","MARIAN"
"15","Marianas_middle",15,"alpha",0.219993628534656,-2.10237839108911,2.61736425802183,0.95,"median","qi","MARIAN"
"16","Marianas_upper",16,"alpha",0.407373246607751,-1.45705075600146,2.88403619251012,0.95,"median","qi","MARIAN"
"17","Maui",17,"alpha",1.33425014015308,-0.20236783361922,4.63598855156134,0.95,"median","qi","MHI"
"18","Molokai",18,"alpha",0.213773380784912,-1.26879659090538,2.22681980427213,0.95,"median","qi","MHI"
"19","Niihau",19,"alpha",1.19497482313199,-0.315511374589248,4.61828995103491,0.95,"median","qi","MHI"
"20","NPRICO",20,"alpha",0.525461959897582,-1.24864560862246,3.33367245790179,0.95,"median","qi","PRICO"
"21","Oahu",21,"alpha",0.412711635779191,-0.844047406141724,2.2472824573962,0.95,"median","qi","MHI"
"22","Pearl & Hermes",22,"alpha",0.78186514955314,-0.668812926537987,3.51124826062556,0.95,"median","qi","NWHI"
"23","Rose",23,"alpha",0.416031362870389,-1.44983008229651,3.08874000282443,0.95,"median","qi","SAMOA"
"24","Rota",24,"alpha",0.540133642432451,-1.1866437744584,3.34507558192149,0.95,"median","qi","MARIAN"
"25","SEFCRI",25,"alpha",0.446297932091961,-0.828265591857129,2.3933590128739,0.95,"median","qi","FLORIDA"
"26","STJ",26,"alpha",1.37367608507325,-0.0920275776292516,4.3492662804755,0.95,"median","qi","USVI"
"27","STT",27,"alpha",1.12830529654726,-0.168417090882842,3.90801414778879,0.95,"median","qi","USVI"
"28","STT_STJ_offshore",28,"alpha",0.155236668667713,-1.51892630004563,2.07710489047278,0.95,"median","qi","USVI"
"29","STX",29,"alpha",0.0854105262525742,-1.4822462231479,1.9937540299705,0.95,"median","qi","USVI"
"30","SWPRICO",30,"alpha",1.05223861002424,-0.399010024662173,4.15649743464504,0.95,"median","qi","PRICO"
"31","Tortugas",31,"alpha",0.487519558477952,-0.752864845389204,2.63025320344905,0.95,"median","qi","FLORIDA"
"32","Tutuila",32,"alpha",0.725496475764513,-0.680387530482163,3.79944183312938,0.95,"median","qi","SAMOA"
"33","EPRICO",1,"alpha",1.04485807835741,0.112687371234877,2.66551164875636,0.8,"median","qi","PRICO"
"34","French Frigate",2,"alpha",0.103224104246408,-1.48004070961134,1.36919750490646,0.8,"median","qi","NWHI"
"35","Guam",3,"alpha",0.665527252980694,-0.297395035652328,2.21130527366,0.8,"median","qi","MARIAN"
"36","Hawaii",4,"alpha",0.0231272440636745,-1.01448660472699,1.0535776327776,0.8,"median","qi","MHI"
"37","Kahoolawe",5,"alpha",0.728679321705272,-0.243004754270925,2.31288374537441,0.8,"median","qi","MHI"
"38","Kauai",6,"alpha",0.624385712724174,-0.274327961456973,1.99983191143622,0.8,"median","qi","MHI"
"39","Keys_lower",7,"alpha",0.163681349453737,-0.62097974287762,0.977751872987083,0.8,"median","qi","FLORIDA"
"40","Keys_middle",8,"alpha",-0.791585582664721,-2.08960857336342,0.445038901626646,0.8,"median","qi","FLORIDA"
"41","Keys_upper",9,"alpha",0.0448662568417994,-0.934091581061869,0.967875633966861,0.8,"median","qi","FLORIDA"
"42","Kure",10,"alpha",0.34168950654194,-0.785160113452219,1.59234398218913,0.8,"median","qi","NWHI"
"43","Lanai",11,"alpha",0.160815130560423,-0.93902146472994,1.27161643129984,0.8,"median","qi","MHI"
"44","Lisianski",12,"alpha",0.288225755729839,-0.935827571759869,1.60441126083953,0.8,"median","qi","NWHI"
"45","Manua_islands",13,"alpha",0.24922525025072,-0.906553639495233,1.47406654921865,0.8,"median","qi","SAMOA"
"46","Marianas_lower",14,"alpha",0.648458890223302,-0.34423893860681,2.30760349574618,0.8,"median","qi","MARIAN"
"47","Marianas_middle",15,"alpha",0.219993628534656,-1.1540077898332,1.50291138981927,0.8,"median","qi","MARIAN"
"48","Marianas_upper",16,"alpha",0.407373246607751,-0.684001605663509,1.78338708323436,0.8,"median","qi","MARIAN"
"49","Maui",17,"alpha",1.33425014015308,0.194877187504814,3.29758478822496,0.8,"median","qi","MHI"
"50","Molokai",18,"alpha",0.213773380784912,-0.726986660271086,1.30525080951471,0.8,"median","qi","MHI"
"51","Niihau",19,"alpha",1.19497482313199,0.107974498293965,3.22727582043461,0.8,"median","qi","MHI"
"52","NPRICO",20,"alpha",0.525461959897582,-0.546164652706751,2.0841509904756,0.8,"median","qi","PRICO"
"53","Oahu",21,"alpha",0.412711635779191,-0.377949466920659,1.43048806529766,0.8,"median","qi","MHI"
"54","Pearl & Hermes",22,"alpha",0.78186514955314,-0.141810040354545,2.32364718535278,0.8,"median","qi","NWHI"
"55","Rose",23,"alpha",0.416031362870389,-0.704030061569102,1.861399743461,0.8,"median","qi","SAMOA"
"56","Rota",24,"alpha",0.540133642432451,-0.494626324678543,2.07984833149216,0.8,"median","qi","MARIAN"
"57","SEFCRI",25,"alpha",0.446297932091961,-0.372179896044047,1.52350239411125,0.8,"median","qi","FLORIDA"
"58","STJ",26,"alpha",1.37367608507325,0.265965649082225,3.17383043694919,0.8,"median","qi","USVI"
"59","STT",27,"alpha",1.12830529654726,0.189103520264273,2.74406062864658,0.8,"median","qi","USVI"
"60","STT_STJ_offshore",28,"alpha",0.155236668667713,-0.887675344514563,1.17075020055373,0.8,"median","qi","USVI"
"61","STX",29,"alpha",0.0854105262525742,-0.93482525022295,1.12406330594459,0.8,"median","qi","USVI"
"62","SWPRICO",30,"alpha",1.05223861002424,0.0460147700413777,2.87641127951418,0.8,"median","qi","PRICO"
"63","Tortugas",31,"alpha",0.487519558477952,-0.309515970376104,1.63526830918581,0.8,"median","qi","FLORIDA"
"64","Tutuila",32,"alpha",0.725496475764513,-0.19118726958422,2.4415735803811,0.8,"median","qi","SAMOA"
